plot_id,variety code,winter-kill,harvested27Jul,harvested18Aug,okyield18Aug
11,3,y,y,n,
21,2,y,y,n,
31,8,n,n,y,y
41,7,n,n,y,y
51,4,n,n,y,n
61,1,n,n,y,n
71,5,n,n,y,y
12,10,y,y,n,
22,9,y,y,n,
32,14,n,n,y,y
42,12,n,n,y,y
52,11,n,n,y,n
62,6,n,n,y,y
72,13,n,n,y,n
13,14,y,y,n,
23,6,y,y,n,
33,2,n,n,y,y
43,5,n,n,y,y
53,7,n,n,y,y
63,9,n,n,y,n
73,4,n,n,y,y
14,13,y,y,n,
24,12,y,y,n,
34,1,n,n,y,n
44,8,n,n,y,y
54,3,n,n,y,n
64,10,n,n,y,n
74,11,n,n,y,n
15,11,y,y,n,
25,6,y,y,n,
35,13,n,n,n,y
45,7,n,n,n,y
55,9,n,n,y,n
65,5,n,n,y,y
75,12,n,n,y,y
16,14,y,y,y,
26,8,y,y,y,
36,3,n,n,n,n
46,1,n,n,n,n
56,10,n,n,y,n
66,2,n,n,y,n
76,4,n,n,y,y
