experiment,plot,id,treatment,timing,quad_count1,quad_count2,quad_count3,fall_plantcounts,fall_drymattercontent_g,"Metadata:  Measured biomass 2 weeks after planting by harvesting 3 x 12"" rows in the northeast corner of each plot.  (Avoiding the overlapped planting area).  Cut to ground level.  Also counted the number of each plants within each harvested row.  Also took plant counts but did not harvest those same quadrat areas for the intercrop plots (IWG/crop).  Also came back and did plant counts (same 3x12"") of the best IWG mon stretches- since those plots have very poor establishment."
cct,101,14,IWG-WB,fall_2WAP,,,,2/13; 0/11; 0/12,,
cct,102,13,IWG-WW,fall_2WAP,,,,3/6; 1/7; 3/10,,
cct,103,11,perennial rye 1,fall_2WAP,11,7,11,,0.4335,
cct,104,10,IWG,fall_2WAP,1,1,2,"4,3,5",0.0109,
cct,105,2,winter barley 2,fall_2WAP,15,14,18,,1.0385,
cct,106,9,winter wheat,fall_2WAP,16,24,12,,6616,
cct,107,9,winter wheat,fall_2WAP,21,12,26,,1.0182,
cct,108,12,perennial rye 2,fall_2WAP,13,11,19,,0.4611,
cct,109,5,winter barley 5,fall_2WAP,11,11,8,,0.6853,
cct,110,1,winter barley 1,fall_2WAP,17,14,15,,0.9524,
cct,111,3,winter barley 3,fall_2WAP,16,6,14,,0.9405,
cct,112,4,winter barley 4,fall_2WAP,11,14,11,,0.9321,
cct,113,8,winter rye 1,fall_2WAP,26,26,38,,1.4172,
cct,201,6,winter durum 1,fall_2WAP,10,7,9,,0.399,
cct,202,7,winter durum 2,fall_2WAP,12,12,12,,0.5834,
cct,203,13,IWG-WW,fall_2WAP,,,,1/10; 3/9; 3/7,,
cct,204,1,winter barley 1,fall_2WAP,7,10,13,,0.9056,
cct,205,2,winter barley 2,fall_2WAP,13,12,13,,0.9384,
cct,206,4,winter barley 4,fall_2WAP,14,9,6,,0.9968,
cct,207,3,winter barley 3,fall_2WAP,11,10,11,,1.1354,
cct,208,14,IWG-WB,fall_2WAP,,,,1/7; 2/10; 2/7,,
cct,209,9,winter wheat,fall_2WAP,13,21,14,,0.7186,
cct,210,8,winter rye 1,fall_2WAP,24,33,25,,1.3108,
cct,211,10,IWG,fall_2WAP,1,0,1,"5,3,4",0.0056,
cct,212,5,winter barley 5,fall_2WAP,20,15,10,,1.3875,
cct,301,10,IWG,fall_2WAP,1,1,0,"4,3,2",0.0068,
cct,302,9,winter wheat,fall_2WAP,14,12,15,,0.7023,
cct,303,6,winter durum 1,fall_2WAP,13,10,7,,0.4283,
cct,304,5,winter barley 5,fall_2WAP,10,7,16,,0.9299,
cct,305,8,winter rye 1,fall_2WAP,35,21,25,,1.2728,
cct,306,3,winter barley 3,fall_2WAP,10,16,12,,1.2418,
cct,307,14,IWG-WB,fall_2WAP,,,,1/11; 1/12; 0/12,,
cct,308,4,winter barley 4,fall_2WAP,12,6,3,,0.6131,
cct,309,1,winter barley 1,fall_2WAP,15,11,11,,0.9975,
cct,310,7,winter durum 2,fall_2WAP,13,15,11,,0.6457,
cct,311,13,IWG-WW,fall_2WAP,,,,5/24; 6/6; 1/10,,
cct,312,2,winter barley 2,fall_2WAP,11,29,12,,1.207,
cct,401,6,winter durum 1,fall_2WAP,13,9,12,,0.5798,
cct,402,14,IWG-WB,fall_2WAP,,,,1/12; 3/11; 1/13,,
cct,403,9,winter wheat,fall_2WAP,14,11,18,,0.7744,
cct,404,8,winter rye 1,fall_2WAP,32,28,22,,1.5216,
cct,405,4,winter barley 4,fall_2WAP,12,8,10,,1.0227,
cct,406,2,winter barley 2,fall_2WAP,13,13,16,,0.8129,
cct,407,13,IWG-WW,fall_2WAP,,,,3/9; 0/10; 1/11,,
cct,408,10,IWG,fall_2WAP,1,1,0,"6,4,6",0.0114,
cct,409,1,winter barley 1,fall_2WAP,17,13,15,,1.2445,
cct,410,7,winter durum 2,fall_2WAP,14,22,10,,0.5632,
cct,411,5,winter barley 5,fall_2WAP,7,7,12,,0.9699,
cct,412,3,winter barley 3,fall_2WAP,14,11,18,,1.7669,
cct,B,B,winter rye 1,fall_2WAP,,,,,,
cct,B,B,winter rye 1,fall_2WAP,,,,,,
cct,B,B,winter rye 1,fall_2WAP,,,,,,
cct,B,B,winter rye 1,fall_2WAP,,,,,,
cct,B,B,winter rye 1,fall_2WAP,,,,,,
cct,B,B,winter rye 1,fall_2WAP,,,,,,
cct,B,B,winter rye 1,fall_2WAP,,,,,,
cct,101,14,IWG-WB,fall_5WAP,,,,,,
cct,102,13,IWG-WW,fall_5WAP,,,,,,
cct,103,11,perennial rye 1,fall_5WAP,,,,,,
cct,104,10,IWG,fall_5WAP,,,,,,
cct,105,2,winter barley 2,fall_5WAP,,,,,,
cct,106,9,winter wheat,fall_5WAP,,,,,,
cct,107,9,winter wheat,fall_5WAP,,,,,,
cct,108,12,perennial rye 2,fall_5WAP,,,,,,
cct,109,5,winter barley 5,fall_5WAP,,,,,,
cct,110,1,winter barley 1,fall_5WAP,,,,,,
cct,111,3,winter barley 3,fall_5WAP,,,,,,
cct,112,4,winter barley 4,fall_5WAP,,,,,,
cct,113,8,winter rye 1,fall_5WAP,,,,,,
cct,201,6,winter durum 1,fall_5WAP,,,,,,
cct,202,7,winter durum 2,fall_5WAP,,,,,,
cct,203,13,IWG-WW,fall_5WAP,,,,,,
cct,204,1,winter barley 1,fall_5WAP,,,,,,
cct,205,2,winter barley 2,fall_5WAP,,,,,,
cct,206,4,winter barley 4,fall_5WAP,,,,,,
cct,207,3,winter barley 3,fall_5WAP,,,,,,
cct,208,14,IWG-WB,fall_5WAP,,,,,,
cct,209,9,winter wheat,fall_5WAP,,,,,,
cct,210,8,winter rye 1,fall_5WAP,,,,,,
cct,211,10,IWG,fall_5WAP,,,,,,
cct,212,5,winter barley 5,fall_5WAP,,,,,,
cct,301,10,IWG,fall_5WAP,,,,,,
cct,302,9,winter wheat,fall_5WAP,,,,,,
cct,303,6,winter durum 1,fall_5WAP,,,,,,
cct,304,5,winter barley 5,fall_5WAP,,,,,,
cct,305,8,winter rye 1,fall_5WAP,,,,,,
cct,306,3,winter barley 3,fall_5WAP,,,,,,
cct,307,14,IWG-WB,fall_5WAP,,,,,,
cct,308,4,winter barley 4,fall_5WAP,,,,,,
cct,309,1,winter barley 1,fall_5WAP,,,,,,
cct,310,7,winter durum 2,fall_5WAP,,,,,,
cct,311,13,IWG-WW,fall_5WAP,,,,,,
cct,312,2,winter barley 2,fall_5WAP,,,,,,
cct,401,6,winter durum 1,fall_5WAP,,,,,,
cct,402,14,IWG-WB,fall_5WAP,,,,,,
cct,403,9,winter wheat,fall_5WAP,,,,,,
cct,404,8,winter rye 1,fall_5WAP,,,,,,
cct,405,4,winter barley 4,fall_5WAP,,,,,,
cct,406,2,winter barley 2,fall_5WAP,,,,,,
cct,407,13,IWG-WW,fall_5WAP,,,,,,
cct,408,10,IWG,fall_5WAP,,,,,,
cct,409,1,winter barley 1,fall_5WAP,,,,,,
cct,410,7,winter durum 2,fall_5WAP,,,,,,
cct,411,5,winter barley 5,fall_5WAP,,,,,,
cct,412,3,winter barley 3,fall_5WAP,,,,,,
cct,B,B,winter rye 1,fall_5WAP,,,,,,
cct,B,B,winter rye 1,fall_5WAP,,,,,,
cct,B,B,winter rye 1,fall_5WAP,,,,,,
cct,B,B,winter rye 1,fall_5WAP,,,,,,
cct,B,B,winter rye 1,fall_5WAP,,,,,,
cct,B,B,winter rye 1,fall_5WAP,,,,,,
cct,B,B,winter rye 1,fall_5WAP,,,,,,
