date,type,name,population,category,plot,plant height (cm),leaf count,stem circumference (cm),light penetration,node number,distance between node and tassel (cm),stage
7/19/2024,conventional,DKC56-65Rib,32000,tallest,12,173,8,11.5,cloudy,13,55,
7/19/2024,short,PR106-21SSC,39000,tallest,11,134,5,11.5,cloudy,12,29,
7/19/2024,short,PR106-20SSC,39000,tallest,10,126,6,11,cloudy,12,30,
7/19/2024,short,PR105-20SSC,39000,tallest,9,129,5,10.5,cloudy,12,19,
7/19/2024,conventional,DKC56-65Rib,32000,tallest,8,157,6,9,cloudy,12,59,
7/19/2024,short,PR106-21SSC,39000,tallest,7,123,5,10,cloudy,11,28,
7/19/2024,short,PR106-20SSC,39000,tallest,6,131,6,11,cloudy,14,35,
7/19/2024,short,PR105-20SSC,39000,tallest,5,123,6,11.5,cloudy,12,19,
7/19/2024,conventional,DKC56-65Rib,32000,tallest,4,151,7,9.5,cloudy,16,62,
7/19/2024,short,PR106-21SSC,39000,tallest,3,129,6,10.5,cloudy,12,32,
7/19/2024,short,PR106-20SSC,39000,tallest,2,126,6,10.5,cloudy,12,30,
7/19/2024,short,PR105-20SSC,39000,tallest,1,128,6,11,cloudy,11,28,
7/25/2024,conventional,DKC56-65Rib,32000,tallest,12,216,8,10,15,12,97,
7/25/2024,short,PR106-21SSC,39000,tallest,11,149,7,12,8,12,67,
7/25/2024,short,PR106-20SSC,39000,tallest,10,154,7,11,8,12,69,
7/25/2024,short,PR105-20SSC,39000,tallest,9,148,7,10,10,12,52,
7/25/2024,conventional,DKC56-65Rib,32000,tallest,8,199,9,11,15,14,99,
7/25/2024,short,PR106-21SSC,39000,tallest,7,153,7,12,8,11,55,
7/25/2024,short,PR106-20SSC,39000,tallest,6,142,7,12,10,15,85,
7/25/2024,short,PR105-20SSC,39000,tallest,5,151,7,13,7,15,50,
7/25/2024,conventional,DKC56-65Rib,32000,tallest,4,192,8,10.5,15,14,110,
7/25/2024,short,PR106-21SSC,39000,tallest,3,154,6,11,19,10,65,
7/25/2024,short,PR106-20SSC,39000,tallest,2,158,6,10.5,8,12,63,
7/25/2024,short,PR105-20SSC,39000,tallest,1,146,7,11,10,13,46,
7/25/2024,conventional,DKC56-65Rib,32000,tallest,12,149,11,9,5,16,195,
7/25/2024,short,PR106-21SSC,39000,tallest,11,198,11,11,3,17,159,
7/25/2024,short,PR106-20SSC,39000,tallest,10,209,10,12,2,17,166,
7/25/2024,short,PR105-20SSC,39000,tallest,9,211,11,10.5,3,18,149,
7/25/2024,conventional,DKC56-65Rib,32000,tallest,8,251,10,9.5,5,11,124,
7/25/2024,short,PR106-21SSC,39000,tallest,7,202,11,11,3,16,170,
7/25/2024,short,PR106-20SSC,39000,tallest,6,209,11,11.5,3,15,150,
7/25/2024,short,PR105-20SSC,39000,tallest,5,195,10,12,3,14,132,
7/25/2024,conventional,DKC56-65Rib,32000,tallest,4,251,10,10.5,5,15,194,
7/25/2024,short,PR106-21SSC,39000,tallest,3,196,10,12,4,17,152,
7/25/2024,short,PR106-20SSC,39000,tallest,2,205,10,13.5,3,15,158,
7/25/2024,short,PR105-20SSC,39000,tallest,1,205,12,11.5,2,21,163,
