experiment,plot,timing,trt_code,herbicide,rate,treatment,date
dish,101,fall,1,,,,
dish,102,fall,2,,,,
dish,103,fall,3,,,,
dish,104,fall,4,,,,
dish,105,fall,5,,,,
dish,106,fall,6,,,,
dish,107,fall,7,,,,
dish,108,fall,8,,,,
dish,109,fall,9,,,,
dish,110,fall,10,,,,
dish,111,fall,11,,,,
dish,112,fall,12,,,,
dish,113,fall,13,,,,
dish,114,fall,14,,,,
dish,115,fall,15,,,,
dish,116,fall,16,,,,
dish,117,fall,17,,,,
dish,118,fall,18,,,,
dish,119,fall,19,,,,
dish,201,fall,16,,,,
dish,202,fall,7,,,,
dish,203,fall,13,,,,
dish,204,fall,8,,,,
dish,205,fall,12,,,,
dish,206,fall,2,,,,
dish,207,fall,5,,,,
dish,208,fall,3,,,,
dish,209,fall,1,,,,
dish,210,fall,9,,,,
dish,211,fall,18,,,,
dish,212,fall,4,,,,
dish,213,fall,15,,,,
dish,214,fall,19,,,,
dish,215,fall,10,,,,
dish,216,fall,17,,,,
dish,217,fall,14,,,,
dish,218,fall,11,,,,
dish,219,fall,6,,,,
dish,301,fall,13,,,,
dish,302,fall,5,,,,
dish,303,fall,14,,,,
dish,304,fall,1,,,,
dish,305,fall,4,,,,
dish,306,fall,6,,,,
dish,307,fall,9,,,,
dish,308,fall,7,,,,
dish,309,fall,2,,,,
dish,310,fall,16,,,,
dish,311,fall,17,,,,
dish,312,fall,12,,,,
dish,313,fall,18,,,,
dish,314,fall,10,,,,
dish,315,fall,11,,,,
dish,316,fall,19,,,,
dish,317,fall,8,,,,
dish,318,fall,3,,,,
dish,319,fall,15,,,,
dish,401,spring,,,,,
dish,402,spring,,,,,
dish,403,spring,,,,,
dish,404,spring,,,,,
dish,405,spring,,,,,
dish,406,spring,,,,,
dish,407,spring,,,,,
dish,408,spring,,,,,
dish,409,spring,,,,,
dish,410,spring,,,,,
dish,411,spring,,,,,
dish,412,spring,,,,,
dish,413,spring,,,,,
dish,414,spring,,,,,
dish,415,spring,,,,,
dish,416,spring,,,,,
dish,417,spring,,,,,
dish,418,spring,,,,,
dish,419,spring,,,,,
dish,501,spring,,,,,
dish,502,spring,,,,,
dish,503,spring,,,,,
dish,504,spring,,,,,
dish,505,spring,,,,,
dish,506,spring,,,,,
dish,507,spring,,,,,
dish,508,spring,,,,,
dish,509,spring,,,,,
dish,510,spring,,,,,
dish,511,spring,,,,,
dish,512,spring,,,,,
dish,513,spring,,,,,
dish,514,spring,,,,,
dish,515,spring,,,,,
dish,516,spring,,,,,
dish,517,spring,,,,,
dish,518,spring,,,,,
dish,519,spring,,,,,
dish,601,spring,,,,,
dish,602,spring,,,,,
dish,603,spring,,,,,
dish,604,spring,,,,,
dish,605,spring,,,,,
dish,606,spring,,,,,
dish,607,spring,,,,,
dish,608,spring,,,,,
dish,609,spring,,,,,
dish,610,spring,,,,,
dish,611,spring,,,,,
dish,612,spring,,,,,
dish,613,spring,,,,,
dish,614,spring,,,,,
dish,615,spring,,,,,
dish,616,spring,,,,,
dish,617,spring,,,,,
dish,618,spring,,,,,
dish,619,spring,,,,,
