experiment,timing,plot,date_forage_quadrat,forage_quadrat_dimensions,forage_quadrat_wet_grams_with_bag,forage_quadrat_dry_grams_with_bag,forage_quadrat_dry_grams_no_bag,date_grain_quadrat,grain_quadrat_dimensions,grain_quadrat_wet_grams,grain_quadrat_dry_grams,grain_quadrat_seedhead_count,grain_quadrat_threshed_grams,date_grain_combine,grain_combine_dimensions,grain_combine_yield
dish,fall,101,5/6/2024,0.152258,69.3,43.6,6.7,,,,,,,,,
dish,fall,102,5/6/2024,0.152258,51,40,3.1,,,,,,,,,
dish,fall,103,5/6/2024,0.152258,86.5,46.9,10.5,,,,,,,,,
dish,fall,104,5/6/2024,0.152258,56.8,42.1,2.6,,,,,,,,,
dish,fall,105,5/6/2024,0.152258,63.9,43,6.6,,,,,,,,,
dish,fall,106,5/6/2024,0.152258,101.5,49.2,12.4,,,,,,,,,
dish,fall,107,5/6/2024,0.152258,42,37.9,0.9,,,,,,,,,
dish,fall,108,5/6/2024,0.152258,70.9,43.7,7.2,,,,,,,,,
dish,fall,109,5/6/2024,0.152258,89.6,48.6,11.7,,,,,,,,,
dish,fall,110,5/6/2024,0.152258,90.3,48.9,11.5,,,,,,,,,
dish,fall,111,5/6/2024,0.152258,103,49.3,12.8,,,,,,,,,
dish,fall,112,5/6/2024,0.152258,125.3,53.5,16.9,,,,,,,,,
dish,fall,113,5/6/2024,0.152258,91.4,47.5,10.5,,,,,,,,,
dish,fall,114,5/6/2024,0.152258,52.8,39.7,3.1,,,,,,,,,
dish,fall,115,5/6/2024,0.152258,95.9,46.5,11.3,,,,,,,,,
dish,fall,116,5/6/2024,0.152258,91,46,11,,,,,,,,,
dish,fall,117,5/6/2024,0.152258,58.1,40.3,5,,,,,,,,,
dish,fall,118,5/6/2024,0.152258,108.1,49.4,14.2,,,,,,,,,
dish,fall,119,5/6/2024,0.152258,67,41.9,6.1,,,,,,,,,
dish,fall,201,5/6/2024,0.152258,73.2,42.9,8,,,,,,,,,
dish,fall,202,5/6/2024,0.152258,67.6,42.5,7.2,,,,,,,,,
dish,fall,203,5/6/2024,0.152258,71.4,42.5,7.4,,,,,,,,,
dish,fall,204,5/6/2024,0.152258,49.5,38,25.8,,,,,,,,,
dish,fall,205,5/6/2024,0.152258,127,53,17.6,,,,,,,,,
dish,fall,206,5/6/2024,0.152258,104.7,49.4,13.9,,,,,,,,,
dish,fall,207,5/6/2024,0.152258,74.7,43.4,8.3,,,,,,,,,
dish,fall,208,5/6/2024,0.152258,56.6,39.6,4.2,,,,,,,,,
dish,fall,209,5/6/2024,0.152258,86.2,45.2,10.7,,,,,,,,,
dish,fall,210,5/6/2024,0.152258,107.4,50.1,14.9,,,,,,,,,
dish,fall,211,5/6/2024,0.152258,64.9,41.5,6.3,,,,,,,,,
