Year,Experiment,Location,harvest_date,harvest_timepoint,plot_id,variety code,quadrat,wet_seedheads,dry_seedheads,threshed_grain,seedhead_count
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,11,6061,1,97.6,42,16.7,52
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,12,6004,1,147,70,29,92
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,13,winter_wheat,1,31.4,21.8,3.3,79
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,14,6005,1,161.8,80.2,38.2,77
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,15,6059,1,164.2,69.2,16.4,103
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,21,6004,1,129.7,65.8,32.8,93
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,22,6061,1,126.9,51.4,13.5,63
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,23,winter_wheat,1,20.4,12.8,0.5,55
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,24,6059,1,208.6,95.4,45.7,77
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,25,6005,1,256.2,129.4,70.5,113
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,31,6059,1,156.6,73.4,25.4,98
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,32,6061,1,130.8,53.4,17.2,61
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,33,6004,1,151.7,74.2,37.9,89
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,34,winter_wheat,1,18.5,8.8,1.3,24
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,35,6005,1,117.4,60.4,30.7,68
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,41,6005,1,154.4,83.8,45.7,94
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,42,winter_wheat,1,25.4,15.4,1.6,38
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,43,6059,1,282.5,131.8,61,125
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,44,6061,1,158.2,72.4,34,68
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,45,6004,1,102.6,44.4,19.5,49
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,11,6061,2,122.7,47.8,13,63
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,12,6004,2,207.3,99.8,44.3,110
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,13,winter_wheat,2,32.6,21.2,1.4,71
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,14,6005,2,65.5,42,23.5,40
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,15,6059,2,211,93,35,92
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,21,6004,2,137.6,67,32.2,74
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,22,6061,2,160.8,73.4,34.4,68
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,23,winter_wheat,2,16.6,10,1.1,45
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,24,6059,2,120.1,52,20.6,58
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,25,6005,2,190.8,96.8,44.7,95
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,31,6059,2,85.2,34.4,8,41
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,32,6061,2,214.8,94.4,44,95
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,33,6004,2,155.9,78,38.8,95
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,34,winter_wheat,2,14.8,6.2,0.3,27
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,35,6005,2,186.5,92.2,47.3,111
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,41,6005,2,138.4,65.6,36.8,57
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,42,winter_wheat,2,54.8,38,1.7,112
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,43,6059,2,228.8,105.4,44.7,117
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,44,6061,2,76.3,41.2,19.8,44
2023,Pewhe 2,Horse Pasture,7/12/2023,summer harvest,45,6004,2,213.8,105,52,117
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,7/20/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
2023,Pewhe 2,Horse Pasture,8/10/2023,,,,,,,,
