experiment,site,year,timing,crop,plot,bottle code,Product,Date,Time,InstrumentSerialNumber,Dry matter,Protein Dry basis,ICP As is,ADF Dry basis,NDF Dry basis,Fat Dry basis,Ash Dry basis,Lignin Dry basis,NDFICP Dry basis,Insoluble matter Dry basis,Sugar Dry basis,NDFD48 As is,Calcium Dry basis,Chlorine Dry basis,Potassium Dry basis,Magnesium Dry basis,Phosphorus Dry basis,Sulfur Dry basis,Dry matter M-Distance,Protein Dry basis M-Distance,ICP As is M-Distance,ADF Dry basis M-Distance,NDF Dry basis M-Distance,Fat Dry basis M-Distance,Ash Dry basis M-Distance,Lignin Dry basis M-Distance,NDFICP Dry basis M-Distance,Insoluble matter Dry basis M-Distance,Sugar Dry basis M-Distance,NDFD48 As is M-Distance,Calcium Dry basis M-Distance,Chlorine Dry basis M-Distance,Potassium Dry basis M-Distance,Magnesium Dry basis M-Distance,Phosphorus Dry basis M-Distance,Sulfur Dry basis M-Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,101,72307,Hay (Small Cup),43186,0.3740625,,96.08,21.07,0.32,27.5,47.72,2.02,10.35,0.37,1.82,20.18,6.32,88.91,0.66,0.69,3.33,0.2,0.36,0.28,,,,,,,,,,3.97,2.83,2.74,2.4,2.65,2.05,3.46,8.35,3.77,3.37,2.24,8.91,2.55,6.45,2.83,2.34,2.37,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,102,72308,Hay (Small Cup),43186,0.3706018519,,95.69,18.48,0.29,28.82,50.25,1.99,9.82,0.51,1.63,18.04,6.24,83.54,0.6,0.53,3.16,0.2,0.33,0.26,,,,,,,,,,3.72,2.6,2.45,2.13,2.39,1.85,3.25,7.83,3.56,2.64,2.08,8.4,2.27,5.85,2.47,2.09,2.09,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,103,72309,Hay (Small Cup),43186,0.3757638889,,93.37,20.24,0.35,26.71,47.77,1.93,11.81,-0.55,1.57,18.07,8.7,93.54,0.51,0.28,3.34,0.19,0.34,0.25,,,,,,,,,,3.36,2.55,2.6,2.51,2.59,1.82,2.9,7.13,3.48,2.17,2.41,6.91,4.32,9.48,4.36,3.57,3.08,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,104,72310,Hay (Small Cup),43186,0.3801041667,,95.98,20.52,0.29,28.16,49.04,2,10.16,0.44,1.82,19.54,5.81,85.99,0.62,0.5,3.37,0.18,0.35,0.27,,,,,,,,,,3.36,2.57,2.57,2.54,2.58,1.82,2.91,6.95,3.52,2.14,2.34,7.24,4.36,9.29,4.35,3.61,3.11,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,205,72311,Hay (Small Cup),43186,0.3816550926,,93.43,20.07,0.36,26,45.68,1.9,11.04,0.71,1.23,17.82,8.68,83.48,0.58,0.08,3.33,0.18,0.32,0.25,,,,,,,,,,3.76,2.65,2.61,2.29,2.42,1.96,3.24,7.77,3.52,3.29,2.04,8.71,2.51,6.35,2.79,2.3,2.33,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,206,72312,Hay (Small Cup),43186,0.3832986111,,93.4,22.04,0.32,24.07,41.68,2.03,10.53,0.03,1.07,19.45,9.39,81.66,0.65,0.18,3.25,0.21,0.34,0.27,,,,,,,,,,3.07,2.28,2.23,1.98,2.26,1.67,2.86,5.35,3.14,1.86,2,5.03,2.55,6.26,2.48,2.14,1.97,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,207,72313,Hay (Small Cup),43186,0.385474537,,96.2,19.76,0.32,28.24,49.1,1.98,10.1,0.82,1.67,18.99,5.83,85.37,0.63,0.48,3.15,0.2,0.34,0.26,,,,,,,,,,3.1,2.22,2.06,1.72,2.2,1.66,2.66,7.6,2.86,2.04,1.92,4,2.05,4.99,2.06,1.81,1.71,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,208,72314,Hay (Small Cup),43186,0.3870023148,,95.88,19.09,0.29,29.49,50.22,1.96,9.97,0.85,1.66,18.51,6.07,82.92,0.63,0.43,3.07,0.19,0.33,0.26,,,,,,,,,,3.86,2.73,2.65,2.34,2.51,1.97,3.42,7.87,3.71,2.95,2.11,9.43,2.57,6.14,2.86,2.28,2.28,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,301,72315,Hay (Small Cup),43186,0.3884143519,,96.42,21.07,0.38,28.47,47.47,1.9,10.76,1.18,1.81,20.62,5.4,85.75,0.74,0.38,3.1,0.21,0.34,0.28,,,,,,,,,,3.79,2.66,2.65,2.34,2.48,1.92,3.29,7.09,3.65,2.89,2.13,9.31,2.53,6.51,2.77,2.24,2.23,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,302,72316,Hay (Small Cup),43186,0.3897337963,,95.99,21.35,0.35,27.85,48.03,1.99,10.48,0.42,1.94,20.46,5.89,85.78,0.66,0.46,3.3,0.2,0.36,0.28,,,,,,,,,,3.92,2.79,2.92,2.67,2.63,2.08,3.59,7.81,3.95,3.34,2.17,9.9,2.89,6.99,3.3,2.53,2.46,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
