site,timing,date,plot,variety,height,yield_wet_total,yield_dry_total,bag_tare_yield_dry_totoal,yield_dry_grain,yield_dry_straw,weed_score,straw_sieve,strawleave_aspirate
MN,ripe seeds,9/16/2024,1,koto,151,1158,385.2,153,53,179.6,4,94.4,85.2
MN,ripe seeds,9/16/2024,2,glgf land race,122,1588,549.3,171.4,96,269.2,2,159.4,109.8
MN,ripe seeds,9/16/2024,3,devyatka,145,1008,373.2,149,81,150.4,3,80,70.4
MN,ripe seeds,9/16/2024,4,manor,130,1618,571.9,170,94,286,1,140,146
MN,ripe seeds,9/16/2024,5,devyatka,109,1440,516.2,176.2,106,235,2,120,115
MN,ripe seeds,9/16/2024,6,koto,111,1224,449.9,180.8,77,186.6,2,91,95.6
MN,ripe seeds,9/16/2024,7,manor,114,1712,659.7,178.2,129,322.4,0,196.4,126
MN,ripe seeds,9/16/2024,8,glgf land race,132,1456,508.3,155.9,102.5,248.2,0,142.8,105.4
MN,ripe seeds,9/16/2024,9,glgf land race,151,2266,738.6,182.6,116,382.4,1,226.4,156
MN,ripe seeds,9/16/2024,10,devyatka,137,1997,642.4,171,126,342,0,202,140
MN,ripe seeds,9/16/2024,11,manor,128,1204,412.7,152,63,193.4,1,94,99.4
MN,ripe seeds,9/16/2024,12,koto,131,1714,609.4,170.8,94.5,290.6,2,154.6,136
MN,ripe seeds,9/16/2024,13,glgf land race,127,1336,425.5,178.8,135.3,63.5,0,715.8,257
MN,ripe seeds,9/16/2024,14,koto,118,1972,,145,,,0,,
MN,ripe seeds,9/16/2024,15,devyatka,136,1854,593.7,144,154,299.8,0,165.8,134
MN,ripe seeds,9/16/2024,16,manor,142,2344,798,171.6,155,393,3,236,157
