collection,date,type,name,population,plot,plant height (cm),leaf count,stem circumference (cm),light penetration,node number,distance between node and tassel (cm),stage,height of lowest ear (cm),rowlength,rowlength_totalplantcount,rowlength_totalplantbiomassnocob_wet_g,rowlength_totalcobcount,rowlength_totalcobbiomass_wet_g,subsample_specs,stover_wet_g,stover_dry_g,stover_Ncontent,grain_dry_g,grain_Ncontent,grain_moisturePercent_atharvest,grain_testweight_lbbu_atharvest,grain_moisturePercent_afterdryer,grain_testweight_lbbu_afterdryer,grain_moisturePercent_afterdryerandaspiration,grain_testweight_lbbu_afterdryerandaspiration,notes
growth monitoring,7/19/2024,conventional,DKC56-65Rib,32000,12,173,8,11.5,,13,55,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,short,PR106-21SSC,39000,11,134,5,11.5,,12,29,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,short,PR106-20SSC,39000,10,126,6,11,,12,30,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,short,PR105-20SSC,39000,9,129,5,10.5,,12,19,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,conventional,DKC56-65Rib,32000,8,157,6,9,,12,59,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,short,PR106-21SSC,39000,7,123,5,10,,11,28,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,short,PR106-20SSC,39000,6,131,6,11,,14,35,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,short,PR105-20SSC,39000,5,123,6,11.5,,12,19,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,conventional,DKC56-65Rib,32000,4,151,7,9.5,,16,62,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,short,PR106-21SSC,39000,3,129,6,10.5,,12,32,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,short,PR106-20SSC,39000,2,126,6,10.5,,12,30,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/19/2024,short,PR105-20SSC,39000,1,128,6,11,,11,28,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,conventional,DKC56-65Rib,32000,12,216,8,10,15,12,97,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,short,PR106-21SSC,39000,11,149,7,12,8,12,67,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,short,PR106-20SSC,39000,10,154,7,11,8,12,69,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,short,PR105-20SSC,39000,9,148,7,10,10,12,52,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,conventional,DKC56-65Rib,32000,8,199,9,11,15,14,99,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,short,PR106-21SSC,39000,7,153,7,12,8,11,55,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,short,PR106-20SSC,39000,6,142,7,12,10,15,85,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,short,PR105-20SSC,39000,5,151,7,13,7,15,50,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,conventional,DKC56-65Rib,32000,4,192,8,10.5,15,14,110,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,short,PR106-21SSC,39000,3,154,6,11,19,10,65,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,short,PR106-20SSC,39000,2,158,6,10.5,8,12,63,,,,,,,,,,,,,,,,,,,,
growth monitoring,7/25/2024,short,PR105-20SSC,39000,1,146,7,11,10,13,46,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,conventional,DKC56-65Rib,32000,12,149,11,9,5,16,195,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,short,PR106-21SSC,39000,11,198,11,11,3,17,159,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,short,PR106-20SSC,39000,10,209,10,12,2,17,166,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,short,PR105-20SSC,39000,9,211,11,10.5,3,18,149,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,conventional,DKC56-65Rib,32000,8,251,10,9.5,5,11,124,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,short,PR106-21SSC,39000,7,202,11,11,3,16,170,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,short,PR106-20SSC,39000,6,209,11,11.5,3,15,150,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,short,PR105-20SSC,39000,5,195,10,12,3,14,132,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,conventional,DKC56-65Rib,32000,4,251,10,10.5,5,15,194,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,short,PR106-21SSC,39000,3,196,10,12,4,17,152,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,short,PR106-20SSC,39000,2,205,10,13.5,3,15,158,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/6/2024,short,PR105-20SSC,39000,1,205,12,11.5,2,21,163,,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,conventional,DKC56-65Rib,32000,12,274,13,10,0,16,215,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,short,PR106-21SSC,39000,11,267,13,10,0,14,189,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,short,PR106-20SSC,39000,10,287,13,10,0,15,194,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,short,PR105-20SSC,39000,9,290,11,7,0,15,191,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,conventional,DKC56-65Rib,32000,8,289,12,8,5,16,210,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,short,PR106-21SSC,39000,7,293,14,10,0,15,182,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,short,PR106-20SSC,39000,6,285,13,7,5,14,184,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,short,PR105-20SSC,39000,5,254,13,11,5,15,175,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,conventional,DKC56-65Rib,32000,4,290,13,9,5,16,211,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,short,PR106-21SSC,39000,3,258,12,12,20,14,181,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,short,PR106-20SSC,39000,2,254,12,13,5,15,168,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/14/2024,short,PR105-20SSC,39000,1,287,13,7,8,15,182,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,conventional,DKC56-65Rib,32000,12,261,12,,3,,,R2,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,short,PR106-21SSC,39000,11,197,13,,1,,,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,short,PR106-20SSC,39000,10,198,11,,1,,,R2,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,short,PR105-20SSC,39000,9,203,13,,1,,,R2,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,conventional,DKC56-65Rib,32000,8,259,13,,3,,,R2,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,short,PR106-21SSC,39000,7,181,13,,1,,,R2,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,short,PR106-20SSC,39000,6,201,14,,2,,,R2,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,short,PR105-20SSC,39000,5,210,13,,1,,,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,conventional,DKC56-65Rib,32000,4,250,13,,3,,,R2,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,short,PR106-21SSC,39000,3,211,12,,1,,,R1,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,short,PR106-20SSC,39000,2,208,12,,1,,,R2,,,,,,,,,,,,,,,,,,,
growth monitoring,8/21/2024,short,PR105-20SSC,39000,1,221,14,,2,,,R2,,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,conventional,DKC56-65Rib,32000,12,300,13,,0,,,R4,126,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,short,PR106-21SSC,39000,11,232,12,,0,,,R5,48,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,short,PR106-20SSC,39000,10,246,12,,0,,,R5,92,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,short,PR105-20SSC,39000,9,220,12,,0,,,R4,64,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,conventional,DKC56-65Rib,32000,8,285,12,,5,,,R5,130,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,short,PR106-21SSC,39000,7,234,11,,0,,,R5,77,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,short,PR106-20SSC,39000,6,243,11,,0,,,R4,82,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,short,PR105-20SSC,39000,5,235,12,,0,,,R3,75,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,conventional,DKC56-65Rib,32000,4,290,12,,2,,,R4,138,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,short,PR106-21SSC,39000,3,245,12,,0,,,R4,80,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,short,PR106-20SSC,39000,2,251,11,,2,,,R4,97,,,,,,,,,,,,,,,,,,
growth monitoring,9/3/2024,short,PR105-20SSC,39000,1,241,11,,3,,,R2,77,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,conventional,DKC56-65Rib,32000,12,250,13,8,1,,,R4,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,short,PR106-21SSC,39000,11,204,13,11,0,,,R3,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,short,PR106-20SSC,39000,10,201,12,10,0,,,R4,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,short,PR105-20SSC,39000,9,207,13,10,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,conventional,DKC56-65Rib,32000,8,250,12,9,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,short,PR106-21SSC,39000,7,211,13,10,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,short,PR106-20SSC,39000,6,205,13,10,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,short,PR105-20SSC,39000,5,230,12,9,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,conventional,DKC56-65Rib,32000,4,259,13,9,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,short,PR106-21SSC,39000,3,209,14,10.5,1,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,short,PR106-20SSC,39000,2,215,12,8,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/18/2024,short,PR105-20SSC,39000,1,208,12,11,1,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,conventional,DKC56-65Rib,32000,12,251,12,8.5,1,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,short,PR106-21SSC,39000,11,210,13,9.5,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,short,PR106-20SSC,39000,10,208,11,9,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,short,PR105-20SSC,39000,9,221,12,10,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,conventional,DKC56-65Rib,32000,8,258,13,8,0.5,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,short,PR106-21SSC,39000,7,201,12,10.5,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,short,PR106-20SSC,39000,6,209,12,9,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,short,PR105-20SSC,39000,5,211,12,10,1,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,conventional,DKC56-65Rib,32000,4,250,13,9,1,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,short,PR106-21SSC,39000,3,204,12,10,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,short,PR106-20SSC,39000,2,205,11,9,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,9/30/2024,short,PR105-20SSC,39000,1,217,13,10,1,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,conventional,DKC56-65Rib,32000,12,255,13,8.5,0.5,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,short,PR106-21SSC,39000,11,204,14,10.5,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,short,PR106-20SSC,39000,10,206,12,10.5,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,short,PR105-20SSC,39000,9,215,12,10.5,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,conventional,DKC56-65Rib,32000,8,260.5,14,9.5,0.5,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,short,PR106-21SSC,39000,7,198,14,11,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,short,PR106-20SSC,39000,6,203,14,10,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,short,PR105-20SSC,39000,5,201,12,9.5,0.5,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,conventional,DKC56-65Rib,32000,4,240,14,9,0.5,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,short,PR106-21SSC,39000,3,196,13,11,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,short,PR106-20SSC,39000,2,219,13,8.5,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/9/2024,short,PR105-20SSC,39000,1,197,14,10.5,0,,,R5,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,conventional,DKC56-65Rib,32000,12,240,13,9,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,short,PR106-21SSC,39000,11,200,14,11,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,short,PR106-20SSC,39000,10,217,14,9,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,short,PR105-20SSC,39000,9,215,12,9.5,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,conventional,DKC56-65Rib,32000,8,252,14,9,0.5,,,R6,,,,,,,,,,,,,,,,,,,
