crop,year,category,subcategory,yield,price,dollars_per_acre
corn,2021,income,crop_sale,175,5.29,
corn,2021,expense,fertilizer,,,191
corn,2021,expense,seed,,,76
corn,2021,expense,herbicide,,,36
corn,2021,expense,insecticide,,,0
corn,2021,expense,fungicide,,,17
corn,2021,expense,overhead,,,236
corn,2021,expense,rent,,,110
corn,2022,income,crop_sale,173,6.25,
corn,2022,expense,fertilizer,,,273
corn,2022,expense,seed,,,78
corn,2022,expense,herbicide,,,50
corn,2022,expense,insecticide,,,0
corn,2022,expense,fungicide,,,17
corn,2022,expense,overhead,,,286
corn,2022,expense,rent,,,110
soybean,2021,income,crop_sale,63,10.06,
soybean,2021,expense,fertilizer,,,103
soybean,2021,expense,seed,,,59
soybean,2021,expense,herbicide,,,28
soybean,2021,expense,insecticide,,,7
soybean,2021,expense,fungicide,,,12
soybean,2021,expense,overhead,,,326
soybean,2021,expense,rent,,,110
soybean,2022,income,crop_sale,62,14,
soybean,2022,expense,fertilizer,,,76
soybean,2022,expense,seed,,,61
soybean,2022,expense,herbicide,,,45
soybean,2022,expense,insecticide,,,5
soybean,2022,expense,fungicide,,,13
soybean,2022,expense,overhead,,,286
soybean,2022,expense,rent,,,110
cotton,2021,income,crop_sale,776,0.92,
cotton,2021,expense,fertilizer,,,135
cotton,2021,expense,seed,,,93
cotton,2021,expense,herbicide,,,76
cotton,2021,expense,insecticide,,,39
cotton,2021,expense,fungicide,,,0
cotton,2021,expense,overhead,,,326
cotton,2021,expense,rent,,,140
cotton,2022,income,crop_sale,1070,0.97,
cotton,2022,expense,fertilizer,,,117
cotton,2022,expense,seed,,,94
cotton,2022,expense,herbicide,,,101
cotton,2022,expense,insecticide,,,41
cotton,2022,expense,fungicide,,,0
cotton,2022,expense,overhead,,,286
cotton,2022,expense,rent,,,110
wheat+soy,2021,income,crop_sale,99,5.87,
wheat+soy,2021,expense,fertilizer,,,114
wheat+soy,2021,expense,seed,,,18
wheat+soy,2021,expense,herbicide,,,32
wheat+soy,2021,expense,insecticide,,,2
wheat+soy,2021,expense,fungicide,,,14
wheat+soy,2021,expense,overhead,,,326
wheat+soy,2021,expense,rent,,,110
wheat+soy,2021,income,crop_sale,58,10.06,
wheat+soy,2021,expense,fertilizer,,,2
wheat+soy,2021,expense,seed,,,54
wheat+soy,2021,expense,herbicide,,,27
wheat+soy,2021,expense,insecticide,,,20
wheat+soy,2021,expense,fungicide,,,7
wheat+soy,2022,income,crop_sale,80,7.46,
wheat+soy,2022,expense,fertilizer,,,186
wheat+soy,2022,expense,seed,,,18
wheat+soy,2022,expense,herbicide,,,36
wheat+soy,2022,expense,insecticide,,,3
wheat+soy,2022,expense,fungicide,,,14
wheat+soy,2022,expense,overhead,,,286
wheat+soy,2022,expense,rent,,,110
wheat+soy,2022,income,crop_sale,50,14,
wheat+soy,2022,expense,fertilizer,,,2
wheat+soy,2022,expense,seed,,,56
wheat+soy,2022,expense,herbicide,,,39
wheat+soy,2022,expense,insecticide,,,2
wheat+soy,2022,expense,fungicide,,,7
