experiment,plot,timing,trt_code,herbicide,rate,treatment,date
dish,101,fall,1,,,,
dish,102,fall,2,,,,
dish,103,fall,3,,,,
dish,104,fall,4,,,,
dish,105,fall,5,,,,
dish,106,fall,6,,,,
dish,107,fall,7,,,,
dish,108,fall,8,,,,
dish,109,fall,9,,,,
dish,110,fall,10,,,,
dish,111,fall,11,,,,
dish,112,fall,12,,,,
dish,113,fall,13,,,,
dish,114,fall,14,,,,
dish,115,fall,15,,,,
dish,116,fall,16,,,,
dish,117,fall,17,,,,
dish,118,fall,18,,,,
dish,119,fall,19,,,,
dish,201,fall,16,,,,
dish,202,fall,7,,,,
dish,203,fall,13,,,,
dish,204,fall,8,,,,
dish,205,fall,12,,,,
dish,206,fall,2,,,,
dish,207,fall,5,,,,
dish,208,fall,3,,,,
dish,209,fall,1,,,,
dish,210,fall,9,,,,
dish,211,fall,18,,,,
dish,212,fall,4,,,,
dish,213,fall,15,,,,
dish,214,fall,19,,,,
dish,215,fall,10,,,,
dish,216,fall,17,,,,
dish,217,fall,14,,,,
dish,218,fall,11,,,,
dish,219,fall,6,,,,
dish,301,fall,13,,,,
dish,302,fall,5,,,,
dish,303,fall,14,,,,
dish,304,fall,1,,,,
dish,305,fall,4,,,,
dish,306,fall,6,,,,
dish,307,fall,9,,,,
dish,308,fall,7,,,,
dish,309,fall,2,,,,
dish,310,fall,16,,,,
dish,311,fall,17,,,,
dish,312,fall,12,,,,
dish,313,fall,18,,,,
dish,314,fall,10,,,,
dish,315,fall,11,,,,
dish,316,fall,19,,,,
dish,317,fall,8,,,,
dish,318,fall,3,,,,
dish,319,fall,15,,,,
dish,401,spring,1,,,,
dish,402,spring,2,,,,
dish,403,spring,3,,,,
dish,404,spring,4,,,,
dish,405,spring,5,,,,
dish,406,spring,6,,,,
dish,407,spring,7,,,,
dish,408,spring,8,,,,
dish,409,spring,9,,,,
dish,410,spring,10,,,,
dish,411,spring,11,,,,
dish,412,spring,12,,,,
dish,413,spring,13,,,,
dish,414,spring,14,,,,
dish,415,spring,15,,,,
dish,416,spring,16,,,,
dish,417,spring,17,,,,
dish,418,spring,18,,,,
dish,419,spring,19,,,,
dish,501,spring,16,,,,
dish,502,spring,7,,,,
dish,503,spring,13,,,,
dish,504,spring,8,,,,
dish,505,spring,12,,,,
dish,506,spring,2,,,,
dish,507,spring,5,,,,
dish,508,spring,3,,,,
dish,509,spring,1,,,,
dish,510,spring,9,,,,
dish,511,spring,18,,,,
dish,512,spring,4,,,,
dish,513,spring,15,,,,
dish,514,spring,19,,,,
dish,515,spring,10,,,,
dish,516,spring,17,,,,
dish,517,spring,14,,,,
dish,518,spring,11,,,,
dish,519,spring,6,,,,
dish,601,spring,13,,,,
dish,602,spring,5,,,,
dish,603,spring,14,,,,
dish,604,spring,1,,,,
dish,605,spring,4,,,,
dish,606,spring,6,,,,
dish,607,spring,9,,,,
dish,608,spring,7,,,,
dish,609,spring,2,,,,
dish,610,spring,16,,,,
dish,611,spring,17,,,,
dish,612,spring,12,,,,
dish,613,spring,18,,,,
dish,614,spring,10,,,,
dish,615,spring,11,,,,
dish,616,spring,19,,,,
dish,617,spring,8,,,,
dish,618,spring,3,,,,
dish,619,spring,15,,,,
