Measurement Time	Port 1 5TM Moisture/Temp m³/m³ VWC	Port 1 5TM Moisture/Temp °C Temp	Port 2 5TM Moisture/Temp m³/m³ VWC	Port 2 5TM Moisture/Temp °C Temp	Port 3 5TM Moisture/Temp m³/m³ VWC	Port 3 5TM Moisture/Temp °C Temp
12/15/21 02:00 PM	0.218	1.6	0.255	2.9	0.273	4.1
12/15/21 03:00 PM	0.220	1.6	0.254	2.9	0.273	4.1
12/15/21 04:00 PM	0.220	1.6	0.255	2.9	0.273	4.1
12/15/21 05:00 PM	0.220	1.6	0.265	2.9	0.273	4.1
12/15/21 06:00 PM	0.222	1.6	0.268	2.9	0.272	4.1
12/15/21 07:00 PM	0.222	1.6	0.268	2.9	0.271	4.1
12/15/21 08:00 PM	0.228	1.6	0.261	2.9	0.267	4.1
12/15/21 09:00 PM	0.243	1.5	0.266	2.9	0.267	4.1
12/15/21 10:00 PM	0.255	1.4	0.290	2.8	0.292	4.1
12/15/21 11:00 PM	0.252	1.3	0.292	2.7	0.310	4.0
12/16/21 12:00 AM	0.253	1.3	0.290	2.6	0.309	3.9
12/16/21 01:00 AM	0.260	1.3	0.297	2.6	0.308	3.9
12/16/21 02:00 AM	0.259	1.3	0.296	2.6	0.307	3.9
12/16/21 03:00 AM	0.247	1.3	0.296	2.6	0.309	3.9
12/16/21 04:00 AM	0.239	1.4	0.295	2.6	0.309	3.9
12/16/21 05:00 AM	0.234	1.4	0.292	2.7	0.308	3.9
12/16/21 06:00 AM	0.232	1.4	0.289	2.7	0.306	3.9
12/16/21 07:00 AM	0.232	1.4	0.287	2.7	0.305	3.9
12/16/21 08:00 AM	0.231	1.4	0.286	2.7	0.305	3.9
12/16/21 09:00 AM	0.230	1.4	0.286	2.7	0.304	3.9
12/16/21 10:00 AM	0.229	1.4	0.285	2.7	0.303	3.9
12/16/21 11:00 AM	0.229	1.4	0.284	2.7	0.303	3.9
12/16/21 12:00 PM	0.230	1.5	0.283	2.8	0.302	3.9
12/16/21 01:00 PM	0.231	1.5	0.282	2.8	0.302	3.9
12/16/21 02:00 PM	0.231	1.5	0.281	2.8	0.302	3.9
12/16/21 03:00 PM	0.231	1.5	0.281	2.8	0.301	3.9
12/16/21 04:00 PM	0.231	1.5	0.281	2.8	0.300	3.9
12/16/21 05:00 PM	0.231	1.5	0.280	2.8	0.300	4.0
12/16/21 06:00 PM	0.230	1.5	0.281	2.8	0.300	4.0
12/16/21 07:00 PM	0.230	1.5	0.281	2.8	0.299	4.0
12/16/21 08:00 PM	0.230	1.5	0.280	2.8	0.299	4.0
12/16/21 09:00 PM	0.230	1.5	0.280	2.8	0.299	4.0
12/16/21 10:00 PM	0.230	1.5	0.280	2.8	0.298	4.0
12/16/21 11:00 PM	0.229	1.5	0.280	2.8	0.298	4.0
12/17/21 12:00 AM	0.229	1.5	0.280	2.8	0.298	4.0
12/17/21 01:00 AM	0.228	1.6	0.280	2.8	0.298	4.0
12/17/21 02:00 AM	0.228	1.6	0.281	2.8	0.297	4.0
12/17/21 03:00 AM	0.228	1.6	0.281	2.8	0.297	4.0
12/17/21 04:00 AM	0.228	1.6	0.281	2.8	0.297	4.0
12/17/21 05:00 AM	0.227	1.6	0.280	2.8	0.297	4.0
12/17/21 06:00 AM	0.227	1.6	0.281	2.8	0.296	4.0
12/17/21 07:00 AM	0.227	1.6	0.281	2.8	0.296	4.0
12/17/21 08:00 AM	0.227	1.6	0.281	2.8	0.296	4.0
12/17/21 09:00 AM	0.227	1.6	0.281	2.8	0.296	4.0
12/17/21 10:00 AM	0.227	1.6	0.281	2.8	0.296	4.0
12/17/21 11:00 AM	0.227	1.6	0.281	2.8	0.296	4.0
12/17/21 12:00 PM	0.227	1.6	0.281	2.8	0.295	4.0
12/17/21 01:00 PM	0.227	1.6	0.281	2.8	0.295	4.0
12/17/21 02:00 PM	0.227	1.6	0.281	2.8	0.295	4.0
12/17/21 03:00 PM	0.226	1.6	0.282	2.8	0.295	4.0
12/17/21 04:00 PM	0.226	1.6	0.282	2.8	0.295	4.0
12/17/21 05:00 PM	0.226	1.6	0.282	2.8	0.295	4.0
12/17/21 06:00 PM	0.226	1.6	0.282	2.8	0.295	4.0
12/17/21 07:00 PM	0.225	1.6	0.282	2.8	0.295	4.0
12/17/21 08:00 PM	0.225	1.6	0.281	2.8	0.295	4.0
12/17/21 09:00 PM	0.225	1.6	0.282	2.8	0.294	4.0
12/17/21 10:00 PM	0.225	1.5	0.282	2.8	0.294	4.0
12/17/21 11:00 PM	0.225	1.5	0.282	2.8	0.294	4.0
12/18/21 12:00 AM	0.225	1.5	0.282	2.8	0.294	4.0
12/18/21 01:00 AM	0.225	1.5	0.282	2.8	0.294	4.0
12/18/21 02:00 AM	0.225	1.5	0.282	2.8	0.294	4.0
12/18/21 03:00 AM	0.225	1.5	0.279	2.8	0.294	4.0
12/18/21 04:00 AM	0.225	1.5	0.276	2.8	0.295	4.0
12/18/21 05:00 AM	0.225	1.5	0.276	2.8	0.295	4.0
12/18/21 06:00 AM	0.224	1.5	0.275	2.8	0.295	4.0
12/18/21 07:00 AM	0.224	1.5	0.275	2.8	0.295	4.0
12/18/21 08:00 AM	0.224	1.5	0.276	2.8	0.294	4.0
12/18/21 09:00 AM	0.224	1.5	0.275	2.8	0.294	4.0
12/18/21 10:00 AM	0.224	1.5	0.276	2.8	0.294	4.0
12/18/21 11:00 AM	0.224	1.4	0.277	2.8	0.294	4.0
12/18/21 12:00 PM	0.224	1.4	0.277	2.8	0.293	4.0
12/18/21 01:00 PM	0.223	1.4	0.278	2.8	0.293	4.0
12/18/21 02:00 PM	0.223	1.4	0.277	2.8	0.293	4.0
12/18/21 03:00 PM	0.223	1.4	0.277	2.8	0.293	3.9
12/18/21 04:00 PM	0.223	1.4	0.277	2.8	0.293	3.9
12/18/21 05:00 PM	0.223	1.4	0.278	2.8	0.292	3.9
12/18/21 06:00 PM	0.222	1.4	0.278	2.8	0.292	3.9
12/18/21 07:00 PM	0.222	1.4	0.278	2.8	0.292	3.9
12/18/21 08:00 PM	0.222	1.4	0.278	2.8	0.292	3.9
12/18/21 09:00 PM	0.222	1.4	0.278	2.8	0.292	3.9
12/18/21 10:00 PM	0.223	1.4	0.278	2.8	0.292	3.9
12/18/21 11:00 PM	0.223	1.4	0.277	2.8	0.292	3.9
12/19/21 12:00 AM	0.223	1.4	0.277	2.8	0.292	3.9
12/19/21 01:00 AM	0.223	1.4	0.277	2.8	0.292	3.9
12/19/21 02:00 AM	0.223	1.4	0.276	2.8	0.293	3.9
12/19/21 03:00 AM	0.223	1.4	0.276	2.8	0.293	3.9
12/19/21 04:00 AM	0.222	1.4	0.275	2.8	0.293	3.9
12/19/21 05:00 AM	0.222	1.4	0.274	2.8	0.293	3.9
12/19/21 06:00 AM	0.222	1.4	0.275	2.8	0.293	3.9
12/19/21 07:00 AM	0.222	1.3	0.276	2.8	0.292	3.9
12/19/21 08:00 AM	0.222	1.3	0.277	2.8	0.292	3.9
12/19/21 09:00 AM	0.222	1.4	0.279	2.8	0.291	3.9
12/19/21 10:00 AM	0.222	1.3	0.282	2.8	0.290	3.9
12/19/21 11:00 AM	0.222	1.3	0.284	2.8	0.290	3.9
12/19/21 12:00 PM	0.222	1.3	0.284	2.8	0.290	3.9
12/19/21 01:00 PM	0.222	1.3	0.283	2.8	0.290	3.9
12/19/21 02:00 PM	0.223	1.2	0.283	2.8	0.290	3.9
12/19/21 03:00 PM	0.223	1.2	0.283	2.7	0.290	3.9
12/19/21 04:00 PM	0.223	1.2	0.283	2.7	0.290	3.9
12/19/21 05:00 PM	0.222	1.2	0.283	2.7	0.290	3.9
12/19/21 06:00 PM	0.222	1.2	0.283	2.7	0.290	3.9
12/19/21 07:00 PM	0.222	1.2	0.283	2.7	0.290	3.9
12/19/21 08:00 PM	0.221	1.2	0.282	2.7	0.290	3.9
12/19/21 09:00 PM	0.221	1.2	0.281	2.7	0.290	3.9
12/19/21 10:00 PM	0.221	1.2	0.281	2.7	0.290	3.9
12/19/21 11:00 PM	0.221	1.2	0.280	2.7	0.290	3.9
12/20/21 12:00 AM	0.221	1.2	0.280	2.7	0.290	3.9
12/20/21 01:00 AM	0.221	1.2	0.280	2.7	0.290	3.9
12/20/21 02:00 AM	0.220	1.2	0.280	2.7	0.290	3.9
12/20/21 03:00 AM	0.220	1.2	0.280	2.7	0.290	3.9
12/20/21 04:00 AM	0.220	1.2	0.280	2.7	0.290	3.9
12/20/21 05:00 AM	0.220	1.2	0.280	2.7	0.290	3.9
12/20/21 06:00 AM	0.220	1.2	0.280	2.7	0.290	3.9
12/20/21 07:00 AM	0.220	1.2	0.280	2.7	0.290	3.9
12/20/21 08:00 AM	0.220	1.2	0.280	2.7	0.290	3.9
12/20/21 09:00 AM	0.220	1.2	0.279	2.7	0.290	3.9
12/20/21 10:00 AM	0.220	1.2	0.279	2.7	0.289	3.9
12/20/21 11:00 AM	0.216	1.2	0.281	2.7	0.287	3.9
12/20/21 12:00 PM	0.215	1.1	0.280	2.7	0.287	3.9
12/20/21 01:00 PM	0.216	1.1	0.280	2.7	0.287	3.9
12/20/21 02:00 PM	0.216	1.1	0.280	2.6	0.287	3.8
12/20/21 03:00 PM	0.215	1.1	0.281	2.6	0.287	3.8
12/20/21 04:00 PM	0.214	1.1	0.283	2.6	0.287	3.8
12/20/21 05:00 PM	0.214	1.1	0.283	2.6	0.287	3.8
12/20/21 06:00 PM	0.213	1.1	0.283	2.6	0.287	3.8
12/20/21 07:00 PM	0.213	1.1	0.283	2.6	0.287	3.8
12/20/21 08:00 PM	0.213	1.1	0.283	2.6	0.287	3.8
12/20/21 09:00 PM	0.213	1.1	0.283	2.6	0.287	3.8
12/20/21 10:00 PM	0.213	1.1	0.283	2.6	0.287	3.8
12/20/21 11:00 PM	0.212	1.1	0.283	2.6	0.286	3.8
12/21/21 12:00 AM	0.212	1.1	0.283	2.6	0.286	3.8
12/21/21 01:00 AM	0.212	1.1	0.283	2.6	0.286	3.8
12/21/21 02:00 AM	0.212	1.1	0.283	2.6	0.286	3.8
12/21/21 03:00 AM	0.212	1.1	0.283	2.6	0.286	3.8
12/21/21 04:00 AM	0.212	1.1	0.283	2.6	0.286	3.8
12/21/21 05:00 AM	0.212	1.1	0.283	2.6	0.286	3.8
12/21/21 06:00 AM	0.212	1.1	0.283	2.6	0.286	3.8
12/21/21 07:00 AM	0.212	1.1	0.283	2.6	0.287	3.8
12/21/21 08:00 AM	0.213	1.1	0.283	2.6	0.287	3.8
12/21/21 09:00 AM	0.214	1.1	0.282	2.6	0.287	3.8
12/21/21 10:00 AM	0.216	1.1	0.279	2.6	0.288	3.8
12/21/21 11:00 AM	0.215	1.0	0.280	2.6	0.287	3.8
12/21/21 12:00 PM	0.214	1.0	0.281	2.6	0.287	3.8
12/21/21 01:00 PM	0.213	1.0	0.281	2.6	0.286	3.8
12/21/21 02:00 PM	0.211	1.0	0.283	2.6	0.285	3.8
12/21/21 03:00 PM	0.210	1.0	0.284	2.6	0.285	3.8
12/21/21 04:00 PM	0.210	1.0	0.285	2.6	0.285	3.8
12/21/21 05:00 PM	0.209	1.0	0.285	2.6	0.285	3.7
12/21/21 06:00 PM	0.209	1.0	0.285	2.6	0.285	3.7
12/21/21 07:00 PM	0.209	1.0	0.285	2.6	0.285	3.7
12/21/21 08:00 PM	0.209	1.0	0.285	2.6	0.285	3.7
12/21/21 09:00 PM	0.208	1.0	0.285	2.5	0.284	3.7
12/21/21 10:00 PM	0.207	1.0	0.285	2.5	0.284	3.7
12/21/21 11:00 PM	0.207	1.0	0.285	2.5	0.284	3.7
12/22/21 12:00 AM	0.207	1.0	0.286	2.5	0.284	3.7
12/22/21 01:00 AM	0.207	1.0	0.286	2.5	0.284	3.7
12/22/21 02:00 AM	0.207	1.0	0.286	2.5	0.284	3.7
12/22/21 03:00 AM	0.206	1.0	0.286	2.5	0.284	3.7
12/22/21 04:00 AM	0.207	1.0	0.286	2.5	0.284	3.7
12/22/21 05:00 AM	0.207	0.9	0.285	2.5	0.284	3.7
12/22/21 06:00 AM	0.207	0.9	0.285	2.5	0.284	3.7
12/22/21 07:00 AM	0.207	0.9	0.284	2.5	0.284	3.7
12/22/21 08:00 AM	0.207	0.9	0.285	2.5	0.284	3.7
12/22/21 09:00 AM	0.208	0.9	0.285	2.5	0.284	3.7
12/22/21 10:00 AM	0.208	0.9	0.285	2.5	0.284	3.7
12/22/21 11:00 AM	0.208	0.9	0.285	2.5	0.285	3.7
12/22/21 12:00 PM	0.208	0.9	0.285	2.5	0.285	3.7
12/22/21 01:00 PM	0.208	0.9	0.283	2.4	0.284	3.7
12/22/21 02:00 PM	0.209	0.9	0.282	2.4	0.284	3.7
12/22/21 03:00 PM	0.210	0.9	0.282	2.4	0.285	3.7
12/22/21 04:00 PM	0.209	0.9	0.283	2.4	0.285	3.7
12/22/21 05:00 PM	0.207	0.9	0.283	2.4	0.284	3.7
12/22/21 06:00 PM	0.207	0.9	0.283	2.4	0.284	3.7
12/22/21 07:00 PM	0.207	0.9	0.283	2.4	0.284	3.6
12/22/21 08:00 PM	0.206	0.9	0.284	2.4	0.284	3.7
12/22/21 09:00 PM	0.207	0.8	0.283	2.4	0.284	3.6
12/22/21 10:00 PM	0.207	0.8	0.283	2.4	0.284	3.6
12/22/21 11:00 PM	0.206	0.8	0.283	2.4	0.284	3.6
12/23/21 12:00 AM	0.206	0.8	0.283	2.4	0.284	3.6
12/23/21 01:00 AM	0.206	0.8	0.283	2.4	0.284	3.6
12/23/21 02:00 AM	0.206	0.8	0.283	2.4	0.284	3.6
12/23/21 03:00 AM	0.206	0.8	0.283	2.4	0.284	3.6
12/23/21 04:00 AM	0.207	0.8	0.282	2.4	0.284	3.6
12/23/21 05:00 AM	0.207	0.8	0.282	2.4	0.284	3.6
12/23/21 06:00 AM	0.206	0.8	0.282	2.4	0.284	3.6
12/23/21 07:00 AM	0.206	0.8	0.282	2.4	0.283	3.6
12/23/21 08:00 AM	0.205	0.8	0.282	2.4	0.284	3.6
12/23/21 09:00 AM	0.205	0.8	0.282	2.4	0.284	3.6
12/23/21 10:00 AM	0.206	0.8	0.282	2.4	0.284	3.6
12/23/21 11:00 AM	0.208	0.8	0.279	2.4	0.285	3.6
12/23/21 12:00 PM	0.213	0.8	0.279	2.4	0.287	3.6
12/23/21 01:00 PM	0.211	0.8	0.279	2.4	0.286	3.5
12/23/21 02:00 PM	0.211	0.8	0.279	2.3	0.286	3.5
12/23/21 03:00 PM	0.212	0.8	0.279	2.3	0.287	3.5
12/23/21 04:00 PM	0.212	0.8	0.279	2.3	0.286	3.5
12/23/21 05:00 PM	0.208	0.7	0.282	2.3	0.285	3.5
12/23/21 06:00 PM	0.204	0.7	0.283	2.3	0.283	3.5
12/23/21 07:00 PM	0.204	0.7	0.283	2.3	0.283	3.5
12/23/21 08:00 PM	0.204	0.8	0.283	2.3	0.283	3.5
12/23/21 09:00 PM	0.204	0.8	0.283	2.3	0.284	3.5
12/23/21 10:00 PM	0.204	0.8	0.282	2.3	0.284	3.5
12/23/21 11:00 PM	0.204	0.8	0.282	2.3	0.284	3.5
12/24/21 12:00 AM	0.204	0.8	0.283	2.3	0.284	3.5
12/24/21 01:00 AM	0.204	0.8	0.283	2.3	0.283	3.5
12/24/21 02:00 AM	0.203	0.8	0.283	2.3	0.283	3.5
12/24/21 03:00 AM	0.203	0.7	0.283	2.3	0.283	3.5
12/24/21 04:00 AM	0.203	0.8	0.283	2.2	0.283	3.5
12/24/21 05:00 AM	0.203	0.8	0.282	2.2	0.283	3.5
12/24/21 06:00 AM	0.205	0.7	0.280	2.2	0.284	3.5
12/24/21 07:00 AM	0.207	0.7	0.279	2.2	0.285	3.5
12/24/21 08:00 AM	0.210	0.7	0.279	2.2	0.286	3.5
12/24/21 09:00 AM	0.210	0.7	0.276	2.2	0.287	3.5
12/24/21 10:00 AM	0.204	0.7	0.279	2.2	0.288	3.5
12/24/21 11:00 AM	0.206	0.7	0.275	2.2	0.288	3.5
12/24/21 12:00 PM	0.209	0.7	0.272	2.2	0.287	3.5
12/24/21 01:00 PM	0.213	0.7	0.273	2.2	0.286	3.5
12/24/21 02:00 PM	0.214	0.7	0.273	2.2	0.286	3.5
12/24/21 03:00 PM	0.215	0.8	0.273	2.2	0.287	3.5
12/24/21 04:00 PM	0.216	0.8	0.273	2.2	0.287	3.5
12/24/21 05:00 PM	0.216	0.8	0.272	2.2	0.287	3.5
12/24/21 06:00 PM	0.217	0.8	0.272	2.2	0.287	3.5
12/24/21 07:00 PM	0.217	0.8	0.272	2.2	0.287	3.5
12/24/21 08:00 PM	0.217	0.8	0.272	2.2	0.287	3.5
12/24/21 09:00 PM	0.217	0.8	0.273	2.2	0.287	3.5
12/24/21 10:00 PM	0.218	0.8	0.274	2.2	0.287	3.5
12/24/21 11:00 PM	0.218	0.8	0.276	2.2	0.287	3.5
12/25/21 12:00 AM	0.215	0.8	0.279	2.2	0.286	3.5
12/25/21 01:00 AM	0.213	0.8	0.280	2.2	0.285	3.5
12/25/21 02:00 AM	0.213	0.8	0.280	2.2	0.285	3.5
12/25/21 03:00 AM	0.213	0.8	0.281	2.2	0.285	3.5
12/25/21 04:00 AM	0.212	0.8	0.281	2.2	0.285	3.5
12/25/21 05:00 AM	0.211	0.8	0.282	2.2	0.284	3.5
12/25/21 06:00 AM	0.211	0.8	0.282	2.2	0.284	3.4
12/25/21 07:00 AM	0.210	0.8	0.283	2.2	0.284	3.4
12/25/21 08:00 AM	0.210	0.8	0.282	2.2	0.284	3.4
12/25/21 09:00 AM	0.210	0.8	0.283	2.2	0.284	3.4
12/25/21 10:00 AM	0.211	0.8	0.282	2.2	0.284	3.4
12/25/21 11:00 AM	0.211	0.8	0.282	2.2	0.284	3.4
12/25/21 12:00 PM	0.210	0.8	0.283	2.2	0.283	3.4
12/25/21 01:00 PM	0.209	0.8	0.283	2.2	0.283	3.4
12/25/21 02:00 PM	0.209	0.8	0.283	2.2	0.283	3.4
12/25/21 03:00 PM	0.209	0.8	0.283	2.2	0.283	3.4
12/25/21 04:00 PM	0.209	0.8	0.283	2.2	0.283	3.4
12/25/21 05:00 PM	0.209	0.8	0.283	2.2	0.283	3.4
12/25/21 06:00 PM	0.208	0.8	0.283	2.2	0.283	3.4
12/25/21 07:00 PM	0.208	0.8	0.283	2.2	0.283	3.4
12/25/21 08:00 PM	0.208	0.8	0.283	2.2	0.283	3.4
12/25/21 09:00 PM	0.208	0.8	0.283	2.2	0.283	3.4
12/25/21 10:00 PM	0.208	0.8	0.283	2.2	0.283	3.4
12/25/21 11:00 PM	0.208	0.8	0.283	2.2	0.283	3.4
12/26/21 12:00 AM	0.208	0.8	0.284	2.2	0.283	3.4
12/26/21 01:00 AM	0.208	0.8	0.283	2.2	0.283	3.4
12/26/21 02:00 AM	0.208	0.8	0.283	2.2	0.283	3.4
12/26/21 03:00 AM	0.208	0.8	0.283	2.2	0.283	3.4
12/26/21 04:00 AM	0.208	0.8	0.283	2.2	0.283	3.4
12/26/21 05:00 AM	0.207	0.7	0.283	2.2	0.283	3.4
12/26/21 06:00 AM	0.207	0.7	0.283	2.2	0.283	3.4
12/26/21 07:00 AM	0.207	0.7	0.283	2.2	0.283	3.4
12/26/21 08:00 AM	0.207	0.7	0.283	2.2	0.283	3.4
12/26/21 09:00 AM	0.207	0.7	0.283	2.2	0.283	3.4
12/26/21 10:00 AM	0.206	0.7	0.283	2.2	0.283	3.4
12/26/21 11:00 AM	0.206	0.7	0.284	2.2	0.283	3.4
12/26/21 12:00 PM	0.206	0.7	0.283	2.2	0.283	3.4
12/26/21 01:00 PM	0.206	0.7	0.283	2.2	0.283	3.4
12/26/21 02:00 PM	0.205	0.7	0.283	2.2	0.283	3.4
12/26/21 03:00 PM	0.204	0.6	0.283	2.2	0.283	3.4
12/26/21 04:00 PM	0.204	0.6	0.283	2.1	0.283	3.4
12/26/21 05:00 PM	0.204	0.6	0.283	2.1	0.283	3.4
12/26/21 06:00 PM	0.203	0.6	0.282	2.1	0.283	3.4
12/26/21 07:00 PM	0.203	0.6	0.281	2.1	0.283	3.4
12/26/21 08:00 PM	0.202	0.6	0.275	2.1	0.286	3.4
12/26/21 09:00 PM	0.201	0.6	0.274	2.1	0.287	3.4
12/26/21 10:00 PM	0.200	0.6	0.274	2.1	0.287	3.4
12/26/21 11:00 PM	0.202	0.6	0.279	2.1	0.287	3.3
12/27/21 12:00 AM	0.218	0.6	0.290	2.1	0.287	3.3
12/27/21 01:00 AM	0.220	0.6	0.290	2.1	0.287	3.3
12/27/21 02:00 AM	0.219	0.6	0.290	2.1	0.286	3.3
12/27/21 03:00 AM	0.218	0.6	0.288	2.1	0.285	3.3
12/27/21 04:00 AM	0.216	0.6	0.287	2.1	0.284	3.3
12/27/21 05:00 AM	0.214	0.6	0.286	2.1	0.283	3.3
12/27/21 06:00 AM	0.209	0.6	0.284	2.0	0.282	3.3
12/27/21 07:00 AM	0.204	0.6	0.275	2.0	0.281	3.3
12/27/21 08:00 AM	0.208	0.6	0.264	2.0	0.283	3.3
12/27/21 09:00 AM	0.212	0.6	0.281	2.0	0.283	3.3
