Measurement Time	Port 1 5TM Moisture/Temp m³/m³ VWC	Port 1 5TM Moisture/Temp °C Temp	Port 2 5TM Moisture/Temp m³/m³ VWC	Port 2 5TM Moisture/Temp °C Temp	Port 3 5TM Moisture/Temp m³/m³ VWC	Port 3 5TM Moisture/Temp °C Temp
03/25/22 02:00 PM	0.337	0.9	0.204	0.3	0.182	0.5
03/25/22 03:00 PM	0.342	1.0	0.206	0.3	0.182	0.5
03/25/22 04:00 PM	0.332	1.0	0.204	0.3	0.181	0.5
03/25/22 05:00 PM	0.326	1.0	0.203	0.3	0.181	0.5
03/25/22 06:00 PM	0.324	1.1	0.203	0.3	0.181	0.5
03/25/22 07:00 PM	0.322	1.1	0.204	0.2	0.180	0.5
03/25/22 08:00 PM	0.321	1.2	0.203	0.3	0.180	0.5
03/25/22 09:00 PM	0.320	1.2	0.203	0.3	0.180	0.5
03/25/22 10:00 PM	0.318	1.1	0.202	0.2	0.180	0.5
03/25/22 11:00 PM	0.316	1.1	0.202	0.3	0.181	0.5
03/26/22 12:00 AM	0.314	1.0	0.202	0.3	0.181	0.5
03/26/22 01:00 AM	0.310	1.0	0.200	0.2	0.182	0.5
03/26/22 02:00 AM	0.303	0.9	0.198	0.3	0.182	0.5
03/26/22 03:00 AM	0.302	0.9	0.197	0.3	0.182	0.5
03/26/22 04:00 AM	0.301	0.8	0.196	0.2	0.182	0.5
03/26/22 05:00 AM	0.301	0.8	0.196	0.3	0.182	0.5
03/26/22 06:00 AM	0.299	0.7	0.196	0.2	0.182	0.5
03/26/22 07:00 AM	0.298	0.7	0.196	0.2	0.182	0.5
03/26/22 08:00 AM	0.297	0.7	0.196	0.2	0.182	0.5
03/26/22 09:00 AM	0.296	0.7	0.196	0.2	0.182	0.5
03/26/22 10:00 AM	0.294	0.6	0.196	0.2	0.182	0.5
03/26/22 11:00 AM	0.294	0.6	0.196	0.2	0.182	0.5
03/26/22 12:00 PM	0.292	0.6	0.196	0.2	0.182	0.5
03/26/22 01:00 PM	0.292	0.6	0.196	0.2	0.182	0.5
03/26/22 02:00 PM	0.293	0.6	0.196	0.2	0.182	0.5
03/26/22 03:00 PM	0.295	0.6	0.196	0.2	0.182	0.5
03/26/22 04:00 PM	0.296	0.6	0.196	0.3	0.181	0.5
03/26/22 05:00 PM	0.298	0.6	0.196	0.3	0.181	0.5
03/26/22 06:00 PM	0.302	0.6	0.196	0.2	0.181	0.5
03/26/22 07:00 PM	0.305	0.6	0.196	0.2	0.181	0.5
03/26/22 08:00 PM	0.306	0.6	0.196	0.3	0.181	0.5
03/26/22 09:00 PM	0.306	0.6	0.197	0.3	0.181	0.5
03/26/22 10:00 PM	0.306	0.6	0.198	0.2	0.181	0.5
03/26/22 11:00 PM	0.305	0.6	0.198	0.3	0.181	0.5
03/27/22 12:00 AM	0.304	0.6	0.197	0.2	0.181	0.5
03/27/22 01:00 AM	0.303	0.6	0.197	0.3	0.181	0.5
03/27/22 02:00 AM	0.301	0.6	0.197	0.3	0.181	0.5
03/27/22 03:00 AM	0.300	0.6	0.197	0.3	0.181	0.5
03/27/22 04:00 AM	0.298	0.6	0.197	0.3	0.181	0.5
03/27/22 05:00 AM	0.297	0.6	0.196	0.2	0.181	0.5
03/27/22 06:00 AM	0.296	0.6	0.196	0.2	0.181	0.4
03/27/22 07:00 AM	0.294	0.6	0.196	0.3	0.181	0.5
03/27/22 08:00 AM	0.292	0.6	0.195	0.3	0.181	0.4
03/27/22 09:00 AM	0.290	0.6	0.195	0.2	0.180	0.5
03/27/22 10:00 AM	0.289	0.6	0.195	0.2	0.180	0.5
03/27/22 11:00 AM	0.287	0.6	0.194	0.3	0.180	0.4
03/27/22 12:00 PM	0.287	0.6	0.195	0.2	0.180	0.5
03/27/22 01:00 PM	0.286	0.6	0.195	0.2	0.180	0.4
03/27/22 02:00 PM	0.283	0.6	0.196	0.2	0.180	0.5
03/27/22 03:00 PM	0.283	0.6	0.196	0.2	0.180	0.4
03/27/22 04:00 PM	0.283	0.6	0.196	0.2	0.180	0.5
03/27/22 05:00 PM	0.281	0.6	0.196	0.2	0.180	0.5
03/27/22 06:00 PM	0.281	0.6	0.196	0.2	0.180	0.4
03/27/22 07:00 PM	0.282	0.6	0.195	0.2	0.180	0.5
03/27/22 08:00 PM	0.283	0.6	0.195	0.2	0.180	0.4
03/27/22 09:00 PM	0.285	0.6	0.195	0.3	0.179	0.4
03/27/22 10:00 PM	0.285	0.6	0.195	0.2	0.179	0.4
