Measurement Time	Port 1 5TM Moisture/Temp m³/m³ VWC	Port 1 5TM Moisture/Temp °C Temp	Port 2 5TM Moisture/Temp m³/m³ VWC	Port 2 5TM Moisture/Temp °C Temp	Port 3 5TM Moisture/Temp m³/m³ VWC	Port 3 5TM Moisture/Temp °C Temp
11/08/21 02:00 PM	* * * 	* * * 	0.136	8.9	0.226	9.3
11/08/21 03:00 PM	* * * 	* * * 	0.136	8.9	0.226	9.3
11/08/21 04:00 PM	* * * 	* * * 	0.136	8.9	0.226	9.3
11/08/21 05:00 PM	* * * 	* * * 	0.136	8.9	0.226	9.3
11/08/21 06:00 PM	* * * 	* * * 	0.136	8.9	0.226	9.3
11/08/21 07:00 PM	* * * 	* * * 	0.136	9.0	0.226	9.3
11/08/21 08:00 PM	* * * 	* * * 	0.136	9.0	0.226	9.3
11/08/21 09:00 PM	* * * 	* * * 	0.136	9.0	0.226	9.3
11/08/21 10:00 PM	* * * 	* * * 	0.136	9.0	0.226	9.3
11/08/21 11:00 PM	* * * 	* * * 	0.136	9.1	0.226	9.3
11/09/21 12:00 AM	* * * 	* * * 	0.137	9.1	0.226	9.3
11/09/21 01:00 AM	* * * 	* * * 	0.137	9.1	0.227	9.4
11/09/21 02:00 AM	* * * 	* * * 	0.137	9.2	0.227	9.4
11/09/21 03:00 AM	* * * 	* * * 	0.137	9.2	0.227	9.4
11/09/21 04:00 AM	* * * 	* * * 	0.137	9.2	0.227	9.4
11/09/21 05:00 AM	* * * 	* * * 	0.137	9.2	0.227	9.4
11/09/21 06:00 AM	* * * 	* * * 	0.137	9.2	0.227	9.4
11/09/21 07:00 AM	* * * 	* * * 	0.137	9.2	0.228	9.4
11/09/21 08:00 AM	* * * 	* * * 	0.137	9.2	0.227	9.4
11/09/21 09:00 AM	* * * 	* * * 	0.137	9.1	0.226	9.4
11/09/21 10:00 AM	* * * 	* * * 	0.137	9.1	0.226	9.4
11/09/21 11:00 AM	* * * 	* * * 	0.137	9.1	0.225	9.4
11/09/21 12:00 PM	* * * 	* * * 	0.137	9.0	0.225	9.4
11/09/21 01:00 PM	* * * 	* * * 	0.136	9.0	0.225	9.4
11/09/21 02:00 PM	* * * 	* * * 	0.136	8.9	0.225	9.4
11/09/21 03:00 PM	* * * 	* * * 	0.136	8.9	0.225	9.4
11/09/21 04:00 PM	* * * 	* * * 	0.136	8.8	0.226	9.4
11/09/21 05:00 PM	* * * 	* * * 	0.137	8.8	0.226	9.4
11/09/21 06:00 PM	* * * 	* * * 	0.136	8.8	0.227	9.4
11/09/21 07:00 PM	0.245	7.8	0.137	8.8	0.227	9.3
11/09/21 08:00 PM	* * * 	* * * 	0.137	8.8	0.227	9.3
11/09/21 09:00 PM	* * * 	* * * 	0.136	8.8	0.227	9.3
11/09/21 10:00 PM	* * * 	* * * 	0.137	8.8	0.227	9.3
11/09/21 11:00 PM	0.245	7.8	0.137	8.8	0.227	9.3
11/10/21 12:00 AM	0.244	7.6	0.137	8.8	0.227	9.3
11/10/21 01:00 AM	0.245	7.5	0.136	8.8	0.227	9.3
11/10/21 02:00 AM	0.245	7.4	0.137	8.8	0.227	9.3
11/10/21 03:00 AM	0.245	7.2	0.137	8.8	0.227	9.3
11/10/21 04:00 AM	0.245	7.1	0.137	8.8	0.227	9.3
11/10/21 05:00 AM	0.244	7.0	0.137	8.7	0.227	9.3
11/10/21 06:00 AM	0.244	6.8	0.137	8.7	0.227	9.3
11/10/21 07:00 AM	0.244	6.7	0.137	8.7	0.227	9.3
11/10/21 08:00 AM	0.244	6.5	0.137	8.6	0.226	9.2
11/10/21 09:00 AM	0.244	6.5	0.137	8.6	0.225	9.2
11/10/21 10:00 AM	* * * 	* * * 	0.136	8.5	0.225	9.2
11/10/21 11:00 AM	* * * 	* * * 	0.136	8.5	0.225	9.2
11/10/21 12:00 PM	* * * 	* * * 	0.136	8.4	0.225	9.2
