Measurement Time	Port 1 5TM Moisture/Temp m³/m³ VWC	Port 1 5TM Moisture/Temp °C Temp	Port 2 5TM Moisture/Temp m³/m³ VWC	Port 2 5TM Moisture/Temp °C Temp	Port 3 5TM Moisture/Temp m³/m³ VWC	Port 3 5TM Moisture/Temp °C Temp
03/25/22 02:00 PM	0.282	1.4	0.289	0.9	0.327	1.2
03/25/22 03:00 PM	0.279	1.4	0.289	0.9	0.326	1.2
03/25/22 04:00 PM	0.280	1.4	0.285	0.9	0.330	1.2
03/25/22 05:00 PM	0.283	1.5	0.286	0.9	0.330	1.2
03/25/22 06:00 PM	0.283	1.5	0.286	0.9	0.330	1.2
03/25/22 07:00 PM	0.285	1.5	0.287	0.9	0.330	1.2
03/25/22 08:00 PM	0.285	1.5	0.287	0.9	0.330	1.2
03/25/22 09:00 PM	0.285	1.5	0.287	0.9	0.330	1.2
03/25/22 10:00 PM	0.285	1.5	0.287	0.9	0.330	1.2
03/25/22 11:00 PM	0.285	1.5	0.287	0.9	0.330	1.2
03/26/22 12:00 AM	0.284	1.5	0.287	0.9	0.330	1.2
03/26/22 01:00 AM	0.283	1.4	0.286	0.9	0.330	1.2
03/26/22 02:00 AM	0.283	1.4	0.286	0.9	0.330	1.2
03/26/22 03:00 AM	0.283	1.4	0.286	0.9	0.329	1.2
03/26/22 04:00 AM	0.283	1.3	0.285	0.9	0.329	1.2
03/26/22 05:00 AM	0.282	1.2	0.285	0.9	0.329	1.2
03/26/22 06:00 AM	0.282	1.1	0.285	0.9	0.329	1.2
03/26/22 07:00 AM	0.282	1.1	0.285	0.9	0.329	1.2
03/26/22 08:00 AM	0.282	1.1	0.284	0.9	0.328	1.2
03/26/22 09:00 AM	0.281	1.0	0.284	0.9	0.328	1.2
03/26/22 10:00 AM	0.281	1.0	0.283	0.9	0.328	1.2
03/26/22 11:00 AM	0.279	0.9	0.283	0.9	0.328	1.2
03/26/22 12:00 PM	0.279	0.9	0.283	0.8	0.328	1.2
03/26/22 01:00 PM	0.279	0.9	0.284	0.8	0.327	1.2
