Measurement Time	Port 1 5TM Moisture/Temp m³/m³ VWC	Port 1 5TM Moisture/Temp °C Temp	Port 2 5TM Moisture/Temp m³/m³ VWC	Port 2 5TM Moisture/Temp °C Temp	Port 3 5TM Moisture/Temp m³/m³ VWC	Port 3 5TM Moisture/Temp °C Temp
11/08/21 02:00 PM	0.248	8.2	0.191	8.6	0.115	9.5
11/08/21 03:00 PM	0.249	8.4	0.191	8.6	0.115	9.5
11/08/21 04:00 PM	0.249	8.6	0.191	8.6	0.115	9.5
11/08/21 05:00 PM	0.249	8.8	0.191	8.6	0.115	9.5
11/08/21 06:00 PM	0.249	9.0	0.191	8.6	0.115	9.5
11/08/21 07:00 PM	0.249	9.2	0.191	8.6	0.115	9.5
11/08/21 08:00 PM	0.249	9.2	0.191	8.7	0.115	9.5
11/08/21 09:00 PM	0.249	9.3	0.191	8.7	0.115	9.5
11/08/21 10:00 PM	0.249	9.2	0.191	8.7	0.115	9.5
11/08/21 11:00 PM	0.249	9.2	0.191	8.8	0.115	9.5
11/09/21 12:00 AM	0.249	9.1	0.191	8.8	0.115	9.5
11/09/21 01:00 AM	0.249	9.1	0.191	8.8	0.115	9.5
11/09/21 02:00 AM	0.249	9.0	0.191	8.9	0.115	9.5
11/09/21 03:00 AM	0.249	8.8	0.191	8.9	0.115	9.5
11/09/21 04:00 AM	0.249	8.7	0.191	8.9	0.115	9.5
11/09/21 05:00 AM	0.249	8.5	0.191	8.9	0.115	9.5
11/09/21 06:00 AM	0.249	8.4	0.191	8.9	0.115	9.5
11/09/21 07:00 AM	0.249	8.2	0.191	8.9	0.115	9.5
11/09/21 08:00 AM	0.249	8.0	0.191	8.9	0.115	9.5
11/09/21 09:00 AM	0.248	7.8	0.189	8.8	0.115	9.6
11/09/21 10:00 AM	0.248	7.6	0.189	8.8	0.115	9.6
11/09/21 11:00 AM	0.248	7.5	0.190	8.8	0.115	9.6
11/09/21 12:00 PM	0.248	7.3	0.191	8.7	0.115	9.6
11/09/21 01:00 PM	0.248	7.3	0.191	8.7	0.115	9.6
11/09/21 02:00 PM	0.248	7.3	0.191	8.6	0.115	9.5
11/09/21 03:00 PM	0.248	7.5	0.191	8.6	0.115	9.5
11/09/21 04:00 PM	0.248	7.7	0.191	8.5	0.115	9.5
11/09/21 05:00 PM	0.249	7.9	0.191	8.5	0.115	9.5
11/09/21 06:00 PM	0.249	8.1	0.191	8.5	0.116	9.5
11/09/21 07:00 PM	0.248	8.2	0.191	8.5	0.116	9.5
11/09/21 08:00 PM	0.249	8.3	0.191	8.5	0.115	9.5
11/09/21 09:00 PM	0.249	8.2	0.191	8.5	0.115	9.5
11/09/21 10:00 PM	0.249	8.2	0.191	8.5	0.115	9.5
11/09/21 11:00 PM	0.249	8.1	0.191	8.5	0.115	9.5
11/10/21 12:00 AM	0.249	8.0	0.191	8.5	0.115	9.5
11/10/21 01:00 AM	0.249	7.8	0.191	8.5	0.115	9.5
11/10/21 02:00 AM	0.249	7.6	0.191	8.5	0.115	9.5
11/10/21 03:00 AM	0.249	7.4	0.191	8.5	0.115	9.5
11/10/21 04:00 AM	0.249	7.3	0.191	8.5	0.115	9.5
11/10/21 05:00 AM	0.249	7.1	0.191	8.4	0.115	9.4
11/10/21 06:00 AM	0.249	7.0	0.191	8.4	0.115	9.4
11/10/21 07:00 AM	0.248	6.9	0.191	8.4	0.115	9.4
11/10/21 08:00 AM	0.248	6.7	0.190	8.3	0.115	9.4
11/10/21 09:00 AM	0.247	6.6	0.189	8.2	0.115	9.4
11/10/21 10:00 AM	0.248	6.5	0.189	8.2	0.115	9.4
11/10/21 11:00 AM	0.248	6.4	0.190	8.2	0.115	9.4
11/10/21 12:00 PM	0.248	6.4	0.190	8.1	0.115	9.4
