Measurement Time	Port 1 5TM Moisture/Temp m³/m³ VWC	Port 1 5TM Moisture/Temp °C Temp	Port 2 5TM Moisture/Temp m³/m³ VWC	Port 2 5TM Moisture/Temp °C Temp	Port 3 5TM Moisture/Temp m³/m³ VWC	Port 3 5TM Moisture/Temp °C Temp
12/15/21 02:00 PM	0.262	1.2	0.163	2.6	0.255	3.4
12/15/21 03:00 PM	0.266	1.2	0.163	2.6	0.258	3.4
12/15/21 04:00 PM	0.266	1.2	0.163	2.6	0.258	3.4
12/15/21 05:00 PM	0.263	1.2	0.162	2.6	0.253	3.4
12/15/21 06:00 PM	0.262	1.2	0.162	2.6	0.251	3.4
12/15/21 07:00 PM	0.262	1.2	0.162	2.6	0.251	3.4
12/15/21 08:00 PM	0.258	1.2	0.158	2.6	0.251	3.4
12/15/21 09:00 PM	0.308	1.1	0.162	2.6	0.267	3.4
12/15/21 10:00 PM	0.343	0.8	0.210	2.2	0.308	3.2
12/15/21 11:00 PM	0.335	0.8	0.213	2.1	0.316	3.1
12/16/21 12:00 AM	0.331	0.9	0.207	2.1	0.319	3.1
12/16/21 01:00 AM	0.319	0.9	0.193	2.2	0.321	3.1
12/16/21 02:00 AM	0.330	1.0	0.210	2.2	0.321	3.1
12/16/21 03:00 AM	0.318	1.0	0.215	2.2	0.318	3.1
12/16/21 04:00 AM	0.314	1.0	0.214	2.3	0.316	3.1
12/16/21 05:00 AM	0.307	1.0	0.213	2.3	0.316	3.1
12/16/21 06:00 AM	0.304	1.1	0.211	2.3	0.315	3.1
12/16/21 07:00 AM	0.301	1.1	0.210	2.3	0.315	3.1
12/16/21 08:00 AM	0.299	1.1	0.209	2.4	0.314	3.1
12/16/21 09:00 AM	0.297	1.1	0.208	2.4	0.314	3.1
12/16/21 10:00 AM	0.296	1.1	0.208	2.4	0.313	3.2
12/16/21 11:00 AM	0.294	1.1	0.207	2.4	0.313	3.2
12/16/21 12:00 PM	0.293	1.1	0.206	2.5	0.313	3.2
12/16/21 01:00 PM	0.292	1.1	0.206	2.5	0.312	3.2
12/16/21 02:00 PM	0.292	1.2	0.205	2.5	0.312	3.2
12/16/21 03:00 PM	0.291	1.2	0.205	2.5	0.311	3.2
12/16/21 04:00 PM	0.291	1.2	0.204	2.5	0.311	3.2
12/16/21 05:00 PM	0.291	1.2	0.204	2.5	0.311	3.2
12/16/21 06:00 PM	0.292	1.2	0.204	2.5	0.312	3.2
12/16/21 07:00 PM	0.292	1.2	* * * 	* * * 	0.312	3.2
12/16/21 08:00 PM	0.292	1.2	* * * 	* * * 	0.311	3.2
12/16/21 09:00 PM	0.291	1.2	* * * 	* * * 	0.311	3.2
12/16/21 10:00 PM	0.291	1.2	* * * 	* * * 	0.311	3.2
12/16/21 11:00 PM	0.291	1.2	* * * 	* * * 	0.311	3.2
12/17/21 12:00 AM	0.289	1.2	0.202	2.5	0.311	3.2
12/17/21 01:00 AM	0.290	1.2	0.202	2.5	0.311	3.2
12/17/21 02:00 AM	0.290	1.2	* * * 	* * * 	0.311	3.2
12/17/21 03:00 AM	0.289	1.2	* * * 	* * * 	0.311	3.2
12/17/21 04:00 AM	0.288	1.2	* * * 	* * * 	0.311	3.2
12/17/21 05:00 AM	0.288	1.2	* * * 	* * * 	0.310	3.2
12/17/21 06:00 AM	0.288	1.2	* * * 	* * * 	0.310	3.2
12/17/21 07:00 AM	0.287	1.2	* * * 	* * * 	0.310	3.2
12/17/21 08:00 AM	0.287	1.2	* * * 	* * * 	0.310	3.2
12/17/21 09:00 AM	0.287	1.2	* * * 	* * * 	0.310	3.2
12/17/21 10:00 AM	0.287	1.2	* * * 	* * * 	0.310	3.2
12/17/21 11:00 AM	0.285	1.2	* * * 	* * * 	0.310	3.2
