plot,variety,spacing
101,TLI704,narrow
102,check,narrow
103,TLI703,alf
104,MN1603,wide
105,TLI703,narrow
106,TLI704,alf
107,TLI703,clover
108,MN1802,narrow
109,TLI703,wide
110,check,wide
111,TLI704,clover
112,MN1802,wide
113,MN1603,narrow
114,TLI704,wide
201,MN1802,wide
202,check,wide
203,TLI704,clover
204,TLI703,alf
205,TLI704,wide
206,TLI703,wide
207,MN1603,narrow
208,TLI703,clover
209,MN1802,narrow
210,MN1603,wide
211,check,narrow
212,TLI704,narrow
213,TLI703,narrow
214,TLI704,alf
301,MN1603,narrow
302,TLI704,clover
303,check,wide
304,check,narrow
305,TLI704,alf
306,TLI703,wide
307,MN1802,wide
308,TLI704,narrow
309,TLI703,alf
310,MN1603,wide
311,MN1802,narrow
312,TLI703,narrow
313,TLI703,clover
314,TLI704,wide
401,MN1603,narrow
402,TLI704,alf
403,TLI703,narrow
404,MN1802,wide
405,check,narrow
406,TLI704,narrow
407,TLI703,clover
408,TLI704,clover
409,check,wide
410,MN1802,narrow
411,TLI704,wide
412,TLI703,alf
413,TLI703,wide
414,MN1603,wide
