"experimental_unit","plots","splots","r","whole_plot","sub_plot"
"101",1,"1",1,"mow","atrazine"
"102",1,"2",1,"mow","acetochlor"
"103",1,"3",1,"mow","callisto"
"104",1,"4",1,"mow","dual_2X"
"105",1,"5",1,"mow","prowl"
"106",1,"6",1,"mow","control"
"107",1,"7",1,"mow","boundary"
"108",1,"8",1,"mow","dual"
"201",2,"1",1,"harvest","dual"
"202",2,"2",1,"harvest","boundary"
"203",2,"3",1,"harvest","control"
"204",2,"4",1,"harvest","dual_2X"
"205",2,"5",1,"harvest","callisto"
"206",2,"6",1,"harvest","prowl"
"207",2,"7",1,"harvest","acetochlor"
"208",2,"8",1,"harvest","atrazine"
"301",3,"1",1,"overseed","acetochlor"
"302",3,"2",1,"overseed","prowl"
"303",3,"3",1,"overseed","atrazine"
"304",3,"4",1,"overseed","callisto"
"305",3,"5",1,"overseed","boundary"
"306",3,"6",1,"overseed","control"
"307",3,"7",1,"overseed","dual"
"308",3,"8",1,"overseed","dual_2X"
