"experimental_unit","plots","splots","r","whole_plot","sub_plot"
"10_1",10,"1",1,"overseed","dual"
"10_2",10,"2",1,"overseed","boundary"
"10_3",10,"3",1,"overseed","control"
"10_4",10,"4",1,"overseed","dual_2X"
"10_5",10,"5",1,"overseed","callisto"
"10_6",10,"6",1,"overseed","prowl"
"10_7",10,"7",1,"overseed","acetochlor"
"10_8",10,"8",1,"overseed","atrazine"
"11_1",11,"1",1,"mow","acetochlor"
"11_2",11,"2",1,"mow","prowl"
"11_3",11,"3",1,"mow","atrazine"
"11_4",11,"4",1,"mow","callisto"
"11_5",11,"5",1,"mow","boundary"
"11_6",11,"6",1,"mow","control"
"11_7",11,"7",1,"mow","dual"
"11_8",11,"8",1,"mow","dual_2X"
"12_1",12,"1",1,"harvest","boundary"
"12_2",12,"2",1,"harvest","callisto"
"12_3",12,"3",1,"harvest","prowl"
"12_4",12,"4",1,"harvest","dual"
"12_5",12,"5",1,"harvest","acetochlor"
"12_6",12,"6",1,"harvest","dual_2X"
"12_7",12,"7",1,"harvest","control"
"12_8",12,"8",1,"harvest","atrazine"
"13_1",13,"1",2,"mow","atrazine"
"13_2",13,"2",2,"mow","callisto"
"13_3",13,"3",2,"mow","dual"
"13_4",13,"4",2,"mow","dual_2X"
"13_5",13,"5",2,"mow","acetochlor"
"13_6",13,"6",2,"mow","prowl"
"13_7",13,"7",2,"mow","control"
"13_8",13,"8",2,"mow","boundary"
"14_1",14,"1",3,"mow","acetochlor"
"14_2",14,"2",3,"mow","callisto"
"14_3",14,"3",3,"mow","control"
"14_4",14,"4",3,"mow","atrazine"
"14_5",14,"5",3,"mow","dual_2X"
"14_6",14,"6",3,"mow","dual"
"14_7",14,"7",3,"mow","boundary"
"14_8",14,"8",3,"mow","prowl"
"15_1",15,"1",2,"harvest","prowl"
"15_2",15,"2",2,"harvest","boundary"
"15_3",15,"3",2,"harvest","acetochlor"
"15_4",15,"4",2,"harvest","callisto"
"15_5",15,"5",2,"harvest","dual_2X"
"15_6",15,"6",2,"harvest","dual"
"15_7",15,"7",2,"harvest","control"
"15_8",15,"8",2,"harvest","atrazine"
"16_1",16,"1",2,"overseed","prowl"
"16_2",16,"2",2,"overseed","acetochlor"
"16_3",16,"3",2,"overseed","callisto"
"16_4",16,"4",2,"overseed","dual"
"16_5",16,"5",2,"overseed","control"
"16_6",16,"6",2,"overseed","dual_2X"
"16_7",16,"7",2,"overseed","atrazine"
"16_8",16,"8",2,"overseed","boundary"
"17_1",17,"1",3,"overseed","atrazine"
"17_2",17,"2",3,"overseed","boundary"
"17_3",17,"3",3,"overseed","callisto"
"17_4",17,"4",3,"overseed","prowl"
"17_5",17,"5",3,"overseed","acetochlor"
"17_6",17,"6",3,"overseed","dual_2X"
"17_7",17,"7",3,"overseed","control"
"17_8",17,"8",3,"overseed","dual"
"18_1",18,"1",3,"harvest","atrazine"
"18_2",18,"2",3,"harvest","dual_2X"
"18_3",18,"3",3,"harvest","callisto"
"18_4",18,"4",3,"harvest","dual"
"18_5",18,"5",3,"harvest","prowl"
"18_6",18,"6",3,"harvest","boundary"
"18_7",18,"7",3,"harvest","control"
"18_8",18,"8",3,"harvest","acetochlor"
