"Date","Variety","plot","person","IWG_row_1","IWG_row_2","plants","plants_per_meter"
"5/2/2023","TLI-801",113,"jesse",13,8,10.5,21
"5/2/2023","TLI-704",114,"jesse",11,7,9,18
"5/2/2023","MN-1603",115,"jesse",9,10,9.5,19
"5/2/2023","MN-Clearwater",116,"jesse",15,12,13.5,27
"5/2/2023","TLI-703",117,"jesse",6,9,7.5,15
"5/2/2023","MN-1802",118,"jesse",13,8,10.5,21
"5/2/2023","TLI-703",201,"jesse",12,14,13,26
"5/2/2023","MN-Clearwater",202,"jesse",9,11,10,20
"5/2/2023","TLI-704",203,"jesse",5,10,7.5,15
"5/2/2023","MN-1802",204,"jesse",8,10,9,18
"5/2/2023","TLI-801",205,"jesse",5,7,6,12
"5/2/2023","MN-1603",206,"jesse",11,9,10,20
"5/2/2023","TLI-703",313,"jesse",16,6,11,22
"5/2/2023","MN-1802",314,"jesse",15,12,13.5,27
"5/2/2023","MN-1603",315,"jesse",13,15,14,28
"5/2/2023","MN-Clearwater",316,"jesse",6,4,5,10
"5/2/2023","TLI-704",317,"jesse",11,6,8.5,17
"5/2/2023","TLI-801",318,"jesse",13,12,12.5,25
"5/2/2023","TLI-703",413,"katherine",13,14,13.5,27
"5/2/2023","MN-Clearwater",414,"katherine",14,14,14,28
"5/2/2023","TLI-704",415,"katherine",6,11,8.5,17
"5/2/2023","MN-1603",416,"katherine",9,11,10,20
"5/2/2023","MN-1802",417,"katherine",5,10,7.5,15
"5/2/2023","TLI-801",418,"katherine",9,9,9,18
"10/5/2022","TLI-801",113,"undergrad",11,6,8.5,17
"10/5/2022","TLI-704",114,"undergrad",17,12,14.5,29
"10/5/2022","MN-1603",115,"undergrad",14,15,14.5,29
"10/5/2022","MN-Clearwater",116,"undergrad",17,16,16.5,33
"10/5/2022","TLI-703",117,"undergrad",9,6,7.5,15
"10/5/2022","MN-1802",118,"undergrad",9,6,7.5,15
"10/5/2022","TLI-703",201,"undergrad",20,15,17.5,35
"10/5/2022","MN-Clearwater",202,"undergrad",18,15,16.5,33
"10/5/2022","TLI-704",203,"undergrad",8,11,9.5,19
"10/5/2022","MN-1802",204,"undergrad",18,8,13,26
"10/5/2022","TLI-801",205,"undergrad",12,12,12,24
"10/5/2022","MN-1603",206,"undergrad",8,12,10,20
"10/5/2022","TLI-703",313,"undergrad",14,18,16,32
"10/5/2022","MN-1802",314,"undergrad",8,16,12,24
"10/5/2022","MN-1603",315,"undergrad",10,13,11.5,23
"10/5/2022","MN-Clearwater",316,"undergrad",8,8,8,16
"10/5/2022","TLI-704",317,"undergrad",11,21,16,32
"10/5/2022","TLI-801",318,"undergrad",13,13,13,26
"10/5/2022","TLI-703",413,"undergrad",17,12,14.5,29
"10/5/2022","MN-Clearwater",414,"undergrad",18,18,18,36
"10/5/2022","TLI-704",415,"undergrad",14,12,13,26
"10/5/2022","MN-1603",416,"undergrad",8,7,7.5,15
"10/5/2022","MN-1802",417,"undergrad",3,6,4.5,9
"10/5/2022","TLI-801",418,"undergrad",13,8,10.5,21
