"plot","name","species","dry_matter_paper_bag"
1,"s1","AF","."
1,"s2","CC","."
2,"s1","AF","."
2,"s2","CL","."
2,"s3","CC","."
2,"s4","PL","."
3,"s1","CL","."
3,"s2","PL","."
4,"s1","TM","."
4,"s2","AF","."
4,"s3","PL","."
5,"s1","CC","."
6,"s1","TM","."
7,"s1","AF","."
8,"s1","DIVERSITY","."
9,"s1","RG","."
9,"s2","TM","."
9,"s3","AF","."
9,"s4","CL","."
9,"s5","CC","."
9,"s6","PL","."
10,"s1","RG","."
10,"s2","CL","."
10,"s3","CC","."
11,"s1","AF","."
12,"s1","PL","."
13,"s1","TM","."
13,"s2","PL","."
14,"s1","RG","."
15,"s1","TM","."
15,"s2","CL","."
16,"s1","RG","."
16,"s2","CC","."
17,"s1","PL","."
18,"s1","CC","."
18,"s2","PL","."
19,"s1","RG","."
20,"s1","RG","."
20,"s2","TM","."
21,"s1","RG","."
21,"s2","CL","."
22,"s1","TM","."
22,"s2","AF","."
23,"s1","CL","."
23,"s2","CC","."
24,"s1","RG","."
25,"s1","TM","."
25,"s2","CL","."
25,"s3","CC","."
26,"s1","RG","."
26,"s2","TM","."
26,"s3","CC","."
26,"s4","PL","."
27,"s1","CC","."
28,"s1","RG","."
29,"s1","DIVERSITY","."
30,"s1","RG","."
30,"s2","TM","."
30,"s3","AF","."
30,"s4","CL","."
30,"s5","CC","."
30,"s6","PL","."
31,"s1","RG","."
31,"s2","TM","."
31,"s3","AF","."
31,"s4","CL","."
32,"s1","RG","."
33,"s1","RG","."
33,"s2","AF","."
34,"s1","TM","."
35,"s1","RG","."
36,"s1","CC","."
37,"s1","PL","."
38,"s1","TM","."
39,"s1","TM","."
39,"s2","CL","."
39,"s3","PL","."
40,"s1","AF","."
41,"s1","DIVERSITY","."
42,"s1","RG","."
42,"s2","TM","."
42,"s3","AF","."
42,"s4","CL","."
42,"s5","CC","."
42,"s6","PL","."
43,"s1","CL","."
44,"s1","TM","."
44,"s2","CC","."
45,"s1","RG","."
45,"s2","PL","."
46,"s1","RG","."
46,"s2","AF","."
46,"s3","CC","."
47,"s1","DIVERSITY","."
48,"s1","AF","."
48,"s2","CL","."
49,"s1","CL","."
50,"s1","CL","."
51,"s1","RG","."
52,"s1","RG","."
52,"s2","AF","."
52,"s3","PL","."
53,"s1","TM","."
53,"s2","AF","."
53,"s3","CC","."
54,"s1","RG","."
55,"s1","AF","."
55,"s2","PL","."
56,"s1","RG","."
56,"s2","CL","."
56,"s3","PL","."
