"experiment","site","year","timing","crop","plot","protein","adf","ndf","ndf48h","rfq.grass","rfq.legume","rfv"
"Mob Graze","Morris",2017,"spring.pregraze","iwg",101,21.07,27.5,47.72,85.424728,196.825517992042,238.779345645236,131.537651806078
"Mob Graze","Morris",2017,"spring.pregraze","iwg",102,18.48,28.82,50.25,79.939426,194.467013317079,211.987133358868,123.011398819854
"Mob Graze","Morris",2017,"spring.pregraze","iwg",103,20.24,26.71,47.77,87.338298,190.382035974096,236.786371909002,132.598371070683
"Mob Graze","Morris",2017,"spring.pregraze","iwg",104,20.52,28.16,49.04,82.533202,191.381355194088,224.694045369432,127.021814181115
"Mob Graze","Morris",2017,"spring.pregraze","iwg",205,20.07,26,45.68,77.995364,178.280015674274,216.903343466884,139.79147151061
"Mob Graze","Morris",2017,"spring.pregraze","iwg",206,22.04,24.07,41.68,76.27044,170.191057693246,229.259400968457,156.562670178101
"Mob Graze","Morris",2017,"spring.pregraze","iwg",207,19.76,28.24,49.1,82.12594,197.277938807907,223.94085238723,126.748524605693
"Mob Graze","Morris",2017,"spring.pregraze","iwg",208,19.09,29.49,50.22,79.503696,189.964146761274,211.198422966306,122.118103599974
"Mob Graze","Morris",2017,"spring.pregraze","iwg",301,21.07,28.47,47.47,82.68015,191.458854455103,232.188134991521,130.749643593751
"Mob Graze","Morris",2017,"spring.pregraze","iwg",302,21.35,27.85,48.03,82.340222,186.358102623693,227.744095043381,130.160606984975
"Mob Graze","Morris",2017,"spring.pregraze","iwg",303,22.4,25.22,42.94,71.882838,154.097269524053,209.637058299937,150.027880980492
"Mob Graze","Morris",2017,"spring.pregraze","iwg",304,21.34,28.03,47.6,82.677349,188.413048121305,230.927827799667,131.062399843658
"Mob Graze","Morris",2017,"spring.pregraze","alf",101,19.71,25.74,45.42,78.412764,185.011412086106,220.657945752488,141.006502616407
"Mob Graze","Morris",2017,"spring.pregraze","alf",104,17.94,27.76,49.53,81.370707,187.836218884836,212.649623948278,126.350410134333
"Mob Graze","Morris",2017,"spring.pregraze","alf",205,21.61,28.14,47.23,78.694155,176.838377363196,219.508114183701,131.920369887094
"Mob Graze","Morris",2017,"spring.pregraze","alf",207,18.91,26.63,46.29,69.597762,168.751263432774,190.867020399727,136.963089119655
"Mob Graze","Morris",2017,"spring.pregraze","alf",301,21.24,24.49,43.27,76.158156,173.492043648295,221.859675731143,150.106233977029
"Mob Graze","Morris",2017,"spring.pregraze","alf",304,23.15,22.51,38.17,74.626212,167.166454749961,243.345241051518,173.921343317228
"Mob Graze","Morris",2017,"fall.pregraze","iwg",103,3.34,41.22,69.91,49.704962,77.1301113856188,82.3352866101858,75.5650886688201
"Mob Graze","Morris",2017,"fall.pregraze","iwg",104,3.26,43.22,75.79,43.40952,63.4837920519768,60.6039120436644,67.790277296201
"Mob Graze","Morris",2017,"fall.pregraze","alf",104,16.74,26.14,35.34,51.143125,180.555130112827,203.778279115009,180.4054697885
"Mob Graze","Morris",2017,"fall.pregraze","iwg",105,1.69,48.72,81.39,42.970704,47.1766443089794,53.1921628354321,58.2291064841404
"Mob Graze","Morris",2017,"fall.pregraze","iwg",106,2.12,47.86,78.93,42.466725,50.907109366109,54.7793432824604,60.8334850721422
"Mob Graze","Morris",2017,"fall.pregraze","alf",106,20.35,21.2,28.61,56.85531,187.707741177051,271.295208223745,235.35501491591
"Mob Graze","Morris",2017,"fall.pregraze","iwg",201,2.19,45.51,75.86,56.202463,71.1607017846583,87.673746659621,65.5402056419721
"Mob Graze","Morris",2017,"fall.pregraze","iwg",202,2.29,46.32,73.88,49.65464,65.7124751702431,76.4551918056109,66.5022097430151
"Mob Graze","Morris",2017,"fall.pregraze","alf",202,12.9,32.28,46.81,89.069981,202.506736598725,242.518719356893,126.69501150122
"Mob Graze","Morris",2017,"fall.pregraze","iwg",207,2.58,47.35,75.39,45.74698,62.1378559898077,66.7784816574756,64.1801855159373
"Mob Graze","Morris",2017,"fall.pregraze","alf",207,20.57,21.8,27.77,54.73957,186.347340358215,274.911162990931,240.908459019688
"Mob Graze","Morris",2017,"fall.pregraze","iwg",208,4.04,42.93,71.32,51.67428,83.1733952591571,84.6993006347819,72.3337072349972
"Mob Graze","Morris",2017,"fall.pregraze","iwg",303,2.72,46.12,77.41,45.97893,61.4488178483054,64.0194158724819,63.6568438066111
"Mob Graze","Morris",2017,"fall.pregraze","iwg",304,3.76,44.29,73.94,42.6844,67.5684408245126,62.1726497948939,68.4377527976801
"Mob Graze","Morris",2017,"fall.pregraze","iwg",305,1.63,49.86,84.85,41.748284,43.1014548756151,47.5166139663785,54.8810458949446
"Mob Graze","Morris",2017,"fall.pregraze","alf",305,18.06,25.38,33.07,72.036576,198.654646027572,270.08984308328,194.454272473471
"Mob Graze","Morris",2017,"fall.pregraze","iwg",306,0.73,49.09,84.16,47.428335,44.2924705100512,59.2071805538247,55.9939981430719
"Mob Graze","Morris",2018,"spring.pregraze","iwg",101,11.9,34.96,64.62,73.8,157.22946907544,151.132099312857,88.7710767060382
"Mob Graze","Morris",2018,"spring.pregraze","iwg",102,11,36.43,68.75,75.94004,156.634771770697,150.030501031818,81.8889200845666
"Mob Graze","Morris",2018,"spring.pregraze","iwg",103,14.32,31.62,61.93,81.537057,184.906842832764,181.466774548818,96.5351278074645
"Mob Graze","Morris",2018,"spring.pregraze","iwg",104,12.54,33.58,62.63,72.108834,157.411258937266,150.398542113343,93.188389545095
"Mob Graze","Morris",2018,"spring.pregraze","iwg",205,12.58,34.72,65.24,76.2671,164.901936823425,158.00696064054,88.1940313404532
"Mob Graze","Morris",2018,"spring.pregraze","iwg",206,12.12,35.18,66.35,76.815571,162.895313397808,156.882694057737,86.2161967017753
"Mob Graze","Morris",2018,"spring.pregraze","iwg",207,13.66,32.24,61.51,76.699362,173.062352879129,167.421397400231,96.4638610473623
"Mob Graze","Morris",2018,"spring.pregraze","iwg",208,12.71,33.38,63.61,77.052024,167.949072300756,162.899043811209,91.9805354577129
"Mob Graze","Morris",2018,"spring.pregraze","iwg",301,14.08,33.18,63.4,76.145784,168.440470888724,161.718526972573,92.5137994277749
"Mob Graze","Morris",2018,"spring.pregraze","iwg",302,14.56,33.96,64.1,74.7046,159.44317028143,154.777572627597,90.6217175198636
"Mob Graze","Morris",2018,"spring.pregraze","iwg",303,15.84,32.34,60.12,73.53153,161.897016571551,160.484528378123,98.5736124649925
"Mob Graze","Morris",2018,"spring.pregraze","iwg",304,15.88,31.76,58.09,72.56403,160.725837284183,161.641595204597,102.741872075008
"Mob Graze","Morris",2018,"spring.pregraze","alf",101,23.11,22.84,31.08,55.81353,155.295715033543,242.036012998111,212.82703301308
"Mob Graze","Morris",2018,"spring.pregraze","alf",104,24.52,24.34,31.38,56.99492,143.876453246063,245.004133598318,207.328442053152
"Mob Graze","Morris",2018,"spring.pregraze","alf",205,23.91,25.05,32.18,57.377106,145.74034619895,238.618076512088,200.575397112174
"Mob Graze","Morris",2018,"spring.pregraze","alf",207,25.32,20.96,27.32,55.292682,138.928402780124,272.621470657104,247.104634138037
"Mob Graze","Morris",2018,"spring.pregraze","alf",301,23.88,25.01,32.97,52.42302,137.770827947837,218.89600297535,195.857290983346
"Mob Graze","Morris",2018,"spring.pregraze","alf",304,26.17,19.36,25.57,53.391087,131.276193785369,285.20550081848,268.550754426972
"Mob Graze","Morris",2018,"fall.pregraze","iwg",103,16.27,40.48,65.42,79.208823,139.100577284827,162.960478370474,81.5710720709832
"Mob Graze","Morris",2018,"fall.pregraze","iwg",104,17.83,37.89,64.09,81.606446,145.452352265938,173.142100103734,86.192294992144
"Mob Graze","Morris",2018,"fall.pregraze","iwg",105,18.37,38.13,64.11,77.897712,133.43642441252,162.027814658685,85.8941281881069
"Mob Graze","Morris",2018,"fall.pregraze","iwg",106,12.9,39.39,70.43,62.025528,118.362273466097,107.67927345806,76.8900541193796
"Mob Graze","Morris",2018,"fall.pregraze","iwg",201,15.55,38.06,62.42,77.51769,149.691614881514,164.2103774594,88.3009470727182
"Mob Graze","Morris",2018,"fall.pregraze","iwg",202,11.54,40.85,69.48,71.604522,131.756982063657,133.059439590101,76.4186448166446
"Mob Graze","Morris",2018,"fall.pregraze","iwg",207,13,36.57,65.94,55.796088,116.185210237652,99.7973900936143,85.2247215580055
"Mob Graze","Morris",2018,"fall.pregraze","iwg",208,17.62,28.34,54.55,66.11608,151.900629340675,152.966311241012,113.952448148701
"Mob Graze","Morris",2018,"fall.pregraze","iwg",303,16.82,36.9,62.28,71.754228,141.004874014848,150.171266370599,89.8491434033846
