Date/Time,Range,Row,Weight (lb),Moisture (%),Test Weight (lb/bu),Quick Note,Harvest Sequence
11/12/2024 4:00:37 PM,1,1,0.24,0.00,0.0,"",1
11/12/2024 4:01:43 PM,2,1,0.33,0.00,0.0,"",2
11/12/2024 4:02:43 PM,3,1,0.23,0.00,0.0,"",3
11/12/2024 4:03:25 PM,4,1,0.17,0.00,0.0,"",4
11/12/2024 4:04:06 PM,5,1,0.14,0.00,0.0,"",5
11/12/2024 4:04:24 PM,6,1,0.02,0.00,0.0,"",6
11/12/2024 4:04:57 PM,7,1,0.64,0.00,0.0,"",7
11/12/2024 4:05:21 PM,8,1,0.10,0.00,0.0,"",8
11/12/2024 4:06:06 PM,9,1,0.24,0.00,0.0,"",9
11/12/2024 4:06:41 PM,10,1,0.08,0.00,0.0,"",10
11/12/2024 4:07:26 PM,11,1,0.10,0.00,0.0,"",11
11/12/2024 4:19:06 PM,1,2,0.77,0.00,0.0,"",22
11/12/2024 4:18:42 PM,2,2,0.69,0.00,0.0,"",21
11/12/2024 4:18:02 PM,3,2,0.35,0.00,0.0,"",20
11/12/2024 4:17:23 PM,4,2,0.80,0.00,0.0,"",19
11/12/2024 4:16:34 PM,5,2,0.53,0.00,0.0,"",18
11/12/2024 4:15:41 PM,6,2,0.37,0.00,0.0,"",17
11/12/2024 4:14:50 PM,7,2,0.33,0.00,0.0,"",16
11/12/2024 4:13:54 PM,8,2,0.10,0.00,0.0,"",15
11/12/2024 4:12:43 PM,9,2,0.24,0.00,0.0,"",14
11/12/2024 4:12:12 PM,10,2,0.49,0.00,0.0,"",13
11/12/2024 4:11:32 PM,11,2,0.26,0.00,0.0,"",12
