Plot,Quadrat,ID,Main Seed,Main Seeds,Weight(g),TGW(g),ØArea,ØWidth,ØLength,ØL/W Ratio,Remark,Date
34,2,p34q2,Thinopyrum intermedium,23,0.328,14.261,10.3,2.6,5.3,2,not enough seed for whole teaspoon,30/01/2024
23,1,p23q1,Thinopyrum intermedium,39,0.497,12.744,9,2.3,5.3,2.3,not enough seed for whole teaspoon,30/01/2024
23,2,p23q2,Thinopyrum intermedium,60,0.865,14.417,9.4,2.4,5.2,2.2,not enough seed for whole teaspoon,30/01/2024
42,1,p42q1,Thinopyrum intermedium,69,1.265,18.333,9.9,2.5,5.4,2.3,not enough seed for whole teaspoon,30/01/2024
13,2,p13q2,Thinopyrum intermedium,100,1.319,13.19,9.1,2.3,5.2,2.3,,30/01/2024
42,2,p42q2,Thinopyrum intermedium,115,1.692,14.713,9.5,2.4,5.4,2.3,,30/01/2024
25,1,p25q1,Thinopyrum intermedium,200,3.768,18.84,12,2.4,6.7,2.8,,30/01/2024
14,2,p14q2,Thinopyrum intermedium,219,4.207,19.21,11.5,2.4,6.5,2.8,,30/01/2024
41,2,p41q2,Thinopyrum intermedium,224,4.144,18.5,11.5,2.4,6.5,2.8,,30/01/2024
43,1,p43q1,Thinopyrum intermedium,226,3.82,16.903,11.1,2.4,6.3,2.7,,30/01/2024
14,1,p14q1,Thinopyrum intermedium,229,3.74,16.332,10.6,2.3,6.4,2.9,,30/01/2024
31,2,p31q2,Thinopyrum intermedium,233,3.241,13.91,10.9,2.3,6.4,2.8,,30/01/2024
41,1,p41q1,Thinopyrum intermedium,235,4.202,17.881,11,2.3,6.3,2.7,,30/01/2024
13,1,p13q1,Thinopyrum intermedium,242,3.136,12.959,9.3,2.4,5.2,2.2,,30/01/2024
11,1,p11q1,Thinopyrum intermedium,250,3.379,13.516,10.4,2.2,6.3,2.8,,30/01/2024
22,2,p22q2,Thinopyrum intermedium,253,3.806,15.043,10.7,2.2,6.5,2.9,,30/01/2024
34,1,p34q1,Thinopyrum intermedium,253,1.243,4.913,5.8,1.5,5.4,3.7,,30/01/2024
22,1,p22q1,Thinopyrum intermedium,257,2.914,11.339,9.4,2.1,6.2,3.1,,30/01/2024
44,1,p44q1,Thinopyrum intermedium,261,4.394,16.835,11.2,2.4,6.4,2.7,,30/01/2024
31,1,p31q1,Thinopyrum intermedium,270,3.833,14.196,9.6,2.3,5.6,2.5,,30/01/2024
45,2,p45q2,Thinopyrum intermedium,273,3.936,14.418,9.6,2.1,6,2.8,,30/01/2024
24,1,p24q1,Thinopyrum intermedium,274,4.208,15.358,10,2.4,5.7,2.4,,30/01/2024
24,2,p24q2,Thinopyrum intermedium,281,3.476,12.37,8.7,2.3,5.3,2.4,,30/01/2024
15,2,p15q2,Thinopyrum intermedium,290,4.172,14.386,10.1,2.3,5.9,2.6,,30/01/2024
45,1,p45q1,Thinopyrum intermedium,292,3.518,12.048,8.9,2.1,5.6,2.7,,30/01/2024
35,1,p35q1,Thinopyrum intermedium,293,3.935,13.43,9.1,2.1,5.7,2.8,,30/01/2024
44,2,p44q2,Thinopyrum intermedium,298,4.118,13.819,10.2,2.2,6.3,2.9,,30/01/2024
33,1,p33q1,Thinopyrum intermedium,299,3.945,13.194,9.2,2.1,5.9,2.8,,30/01/2024
21,1,p21q1,Thinopyrum intermedium,301,4.13,13.721,9.1,2.2,5.7,2.6,,30/01/2024
25,2,p25q2,Thinopyrum intermedium,306,4.717,15.415,9.8,2.3,5.8,2.6,,30/01/2024
35,2,p35q2,Thinopyrum intermedium,307,4.392,14.306,9.5,2.2,6,2.9,,30/01/2024
33,2,p33q2,Thinopyrum intermedium,311,4.258,13.691,9.2,2.1,5.8,2.7,,30/01/2024
12,2,p12q2,Thinopyrum intermedium,312,4.358,13.968,9.5,2.2,5.9,2.8,,30/01/2024
43,2,p43q2,Thinopyrum intermedium,313,4.073,13.013,9,2.3,5.4,2.4,,30/01/2024
21,2,p21q2,Thinopyrum intermedium,316,4.231,13.389,9.3,2.1,5.9,2.8,,30/01/2024
32,1,p32q1,Thinopyrum intermedium,321,3.15,9.813,8.3,2,5.7,2.9,,30/01/2024
32,2,p32q2,Thinopyrum intermedium,325,4.174,12.843,9.9,2.2,6.2,2.9,,30/01/2024
11,2,p11q2,Thinopyrum intermedium,328,3.404,10.378,9.1,2,6.1,3,,30/01/2024
12,1,p12q1,Thinopyrum intermedium,345,4.02,11.652,8.4,2,5.7,2.9,,30/01/2024
15,1,p15q1,Thinopyrum intermedium,404,3.673,9.092,7.5,2.1,5.1,2.6,,30/01/2024
