"","date","plot","name","stage"
"1",2024-08-14,"12","DKC56-65Rib","R1"
"2",2024-08-14,"11","PR106-21SSC","R1"
"3",2024-08-14,"10","PR106-20SSC","R1"
"4",2024-08-14,"9","PR105-20SSC","R1"
"5",2024-08-14,"8","DKC56-65Rib","R1"
"6",2024-08-14,"7","PR106-21SSC","R1"
"7",2024-08-14,"6","PR106-20SSC","R1"
"8",2024-08-14,"5","PR105-20SSC","R1"
"9",2024-08-14,"4","DKC56-65Rib","R1"
"10",2024-08-14,"3","PR106-21SSC","R1"
"11",2024-08-14,"2","PR106-20SSC","R1"
"12",2024-08-14,"1","PR105-20SSC","R1"
"13",2024-08-21,"12","DKC56-65Rib","R2"
"14",2024-08-21,"11","PR106-21SSC","R1"
"15",2024-08-21,"10","PR106-20SSC","R2"
"16",2024-08-21,"9","PR105-20SSC","R2"
"17",2024-08-21,"8","DKC56-65Rib","R2"
"18",2024-08-21,"7","PR106-21SSC","R2"
"19",2024-08-21,"6","PR106-20SSC","R2"
"20",2024-08-21,"5","PR105-20SSC","R1"
"21",2024-08-21,"4","DKC56-65Rib","R2"
"22",2024-08-21,"3","PR106-21SSC","R1"
"23",2024-08-21,"2","PR106-20SSC","R2"
"24",2024-08-21,"1","PR105-20SSC","R2"
"25",2024-09-03,"12","DKC56-65Rib","R4"
"26",2024-09-03,"11","PR106-21SSC","R5"
"27",2024-09-03,"10","PR106-20SSC","R5"
"28",2024-09-03,"9","PR105-20SSC","R4"
"29",2024-09-03,"8","DKC56-65Rib","R5"
"30",2024-09-03,"7","PR106-21SSC","R5"
"31",2024-09-03,"6","PR106-20SSC","R4"
"32",2024-09-03,"5","PR105-20SSC","R3"
"33",2024-09-03,"4","DKC56-65Rib","R4"
"34",2024-09-03,"3","PR106-21SSC","R4"
"35",2024-09-03,"2","PR106-20SSC","R4"
"36",2024-09-03,"1","PR105-20SSC","R2"
"37",2024-09-18,"12","DKC56-65Rib","R4"
"38",2024-09-18,"11","PR106-21SSC","R3"
"39",2024-09-18,"10","PR106-20SSC","R4"
"40",2024-09-18,"9","PR105-20SSC","R5"
"41",2024-09-18,"8","DKC56-65Rib","R5"
"42",2024-09-18,"7","PR106-21SSC","R5"
"43",2024-09-18,"6","PR106-20SSC","R5"
"44",2024-09-18,"5","PR105-20SSC","R5"
"45",2024-09-18,"4","DKC56-65Rib","R5"
"46",2024-09-18,"3","PR106-21SSC","R5"
"47",2024-09-18,"2","PR106-20SSC","R5"
"48",2024-09-18,"1","PR105-20SSC","R5"
"49",2024-09-30,"12","DKC56-65Rib","R5"
"50",2024-09-30,"11","PR106-21SSC","R5"
"51",2024-09-30,"10","PR106-20SSC","R5"
"52",2024-09-30,"9","PR105-20SSC","R5"
"53",2024-09-30,"8","DKC56-65Rib","R5"
"54",2024-09-30,"7","PR106-21SSC","R5"
"55",2024-09-30,"6","PR106-20SSC","R5"
"56",2024-09-30,"5","PR105-20SSC","R5"
"57",2024-09-30,"4","DKC56-65Rib","R5"
"58",2024-09-30,"3","PR106-21SSC","R5"
"59",2024-09-30,"2","PR106-20SSC","R5"
"60",2024-09-30,"1","PR105-20SSC","R5"
"61",2024-10-09,"12","DKC56-65Rib","R6"
"62",2024-10-09,"11","PR106-21SSC","R6"
"63",2024-10-09,"10","PR106-20SSC","R6"
"64",2024-10-09,"9","PR105-20SSC","R6"
"65",2024-10-09,"8","DKC56-65Rib","R5"
"66",2024-10-09,"7","PR106-21SSC","R6"
"67",2024-10-09,"6","PR106-20SSC","R6"
"68",2024-10-09,"5","PR105-20SSC","R5"
"69",2024-10-09,"4","DKC56-65Rib","R6"
"70",2024-10-09,"3","PR106-21SSC","R6"
"71",2024-10-09,"2","PR106-20SSC","R6"
"72",2024-10-09,"1","PR105-20SSC","R5"
"73",2024-10-16,"12","DKC56-65Rib","R6"
"74",2024-10-16,"11","PR106-21SSC","R6"
"75",2024-10-16,"10","PR106-20SSC","R6"
"76",2024-10-16,"9","PR105-20SSC","R6"
"77",2024-10-16,"8","DKC56-65Rib","R6"
"78",2024-10-16,"7","PR106-21SSC","R6"
"79",2024-10-16,"6","PR106-20SSC","R6"
"80",2024-10-16,"5","PR105-20SSC","R6"
"81",2024-10-16,"4","DKC56-65Rib","R6"
"82",2024-10-16,"3","PR106-21SSC","R6"
"83",2024-10-16,"2","PR106-20SSC","R6"
"84",2024-10-16,"1","PR105-20SSC","R6"
