plot,24D_rate_lb_ae_acre,spray_date,weed_score,weed_score_date,weed_score_notes,plant_count,plant_count_date,plant_count_dims,plant_counts_perMeter,notes
209,0.5,6/28/2024,,,,10,7/16/2024,12 inch row length,32.8,
209,0.5,6/28/2024,,,,8,7/16/2024,12 inch row length,26.2,
209,0.5,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
210,1,6/28/2024,,,,1,7/16/2024,12 inch row length,3.3,
210,1,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
210,1,6/28/2024,,,,4,7/16/2024,12 inch row length,13.1,
211,1.5,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
211,1.5,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
211,1.5,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
212,0,6/28/2024,,,,6,7/16/2024,12 inch row length,19.7,
212,0,6/28/2024,,,,6,7/16/2024,12 inch row length,19.7,
212,0,6/28/2024,,,,3,7/16/2024,12 inch row length,9.8,
213,0.5,6/28/2024,,,,9,7/16/2024,12 inch row length,29.5,2 plants looked dead
213,0.5,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,2 plants looked dead
213,0.5,6/28/2024,,,,9,7/16/2024,12 inch row length,29.5,2 plants looked dead
214,1,6/28/2024,,,,2,7/16/2024,12 inch row length,6.6,
214,1,6/28/2024,,,,10,7/16/2024,12 inch row length,32.8,
214,1,6/28/2024,,,,3,7/16/2024,12 inch row length,9.8,
215,1.5,6/28/2024,,,,4,7/16/2024,12 inch row length,13.1,
215,1.5,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
215,1.5,6/28/2024,,,,1,7/16/2024,12 inch row length,3.3,
216,0,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
216,0,6/28/2024,,,,3,7/16/2024,12 inch row length,9.8,
216,0,6/28/2024,,,,8,7/16/2024,12 inch row length,26.2,
309,0.5,6/28/2024,,,,4,7/16/2024,12 inch row length,13.1,
309,0.5,6/28/2024,,,,13,7/16/2024,12 inch row length,42.7,
309,0.5,6/28/2024,,,,12,7/16/2024,12 inch row length,39.4,
310,1,6/28/2024,,,,6,7/16/2024,12 inch row length,19.7,
310,1,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
310,1,6/28/2024,,,,9,7/16/2024,12 inch row length,29.5,
311,1.5,6/28/2024,,,,8,7/16/2024,12 inch row length,26.2,
311,1.5,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
311,1.5,6/28/2024,,,,6,7/16/2024,12 inch row length,19.7,
312,0,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
312,0,6/28/2024,,,,1,7/16/2024,12 inch row length,3.3,
312,0,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
313,0.5,6/28/2024,,,,8,7/16/2024,12 inch row length,26.2,
313,0.5,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
313,0.5,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
314,1,6/28/2024,,,,4,7/16/2024,12 inch row length,13.1,
314,1,6/28/2024,,,,2,7/16/2024,12 inch row length,6.6,
314,1,6/28/2024,,,,3,7/16/2024,12 inch row length,9.8,
315,1.5,6/28/2024,,,,11,7/16/2024,12 inch row length,36.1,
315,1.5,6/28/2024,,,,0,7/16/2024,12 inch row length,0.0,
315,1.5,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
316,0,6/28/2024,,,,9,7/16/2024,12 inch row length,29.5,
316,0,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
316,0,6/28/2024,,,,3,7/16/2024,12 inch row length,9.8,
409,0.5,6/28/2024,,,,17,7/16/2024,12 inch row length,55.8,
409,0.5,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
409,0.5,6/28/2024,,,,8,7/16/2024,12 inch row length,26.2,
410,1,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
410,1,6/28/2024,,,,6,7/16/2024,12 inch row length,19.7,
410,1,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
411,1.5,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
411,1.5,6/28/2024,,,,4,7/16/2024,12 inch row length,13.1,
411,1.5,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
412,0,6/28/2024,,,,4,7/16/2024,12 inch row length,13.1,
412,0,6/28/2024,,,,6,7/16/2024,12 inch row length,19.7,
412,0,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
413,0.5,6/28/2024,,,,9,7/16/2024,12 inch row length,29.5,
413,0.5,6/28/2024,,,,9,7/16/2024,12 inch row length,29.5,
413,0.5,6/28/2024,,,,10,7/16/2024,12 inch row length,32.8,
414,1,6/28/2024,,,,9,7/16/2024,12 inch row length,29.5,
414,1,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
414,1,6/28/2024,,,,3,7/16/2024,12 inch row length,9.8,
415,1.5,6/28/2024,,,,7,7/16/2024,12 inch row length,23.0,
415,1.5,6/28/2024,,,,8,7/16/2024,12 inch row length,26.2,
415,1.5,6/28/2024,,,,5,7/16/2024,12 inch row length,16.4,
416,0,6/28/2024,,,,9,7/16/2024,12 inch row length,29.5,
416,0,6/28/2024,,,,10,7/16/2024,12 inch row length,32.8,
416,0,6/28/2024,,,,9,7/16/2024,12 inch row length,29.5,
