"experimental_unit","PRE","POST","date","weed_vis_score","iwg_injury","person","yield_kgha","shattering_vis","shattering_countm2"
101,"acetochlor","weed-free control",2022-05-19,0,4,"jesse",NA,NA,NA
102,"acetochlor","weedy control",2022-05-19,0,4,"jesse",NA,NA,NA
103,"acetochlor","dicamba",2022-05-19,0,4,"jesse",NA,NA,NA
104,"acetochlor","bison",2022-05-19,0,4,"jesse",NA,NA,NA
105,"acetochlor","wolverine",2022-05-19,0,4,"jesse",NA,NA,NA
106,"acetochlor","facet L",2022-05-19,0,4,"jesse",NA,NA,NA
107,"acetochlor","axial XL",2022-05-19,0,4,"jesse",NA,NA,NA
201,"prowl","axial XL",2022-05-19,0,0,"jesse",NA,NA,NA
202,"prowl","weed-free control",2022-05-19,0,0,"jesse",NA,NA,NA
203,"prowl","wolverine",2022-05-19,0,0,"jesse",NA,NA,NA
204,"prowl","weedy control",2022-05-19,0,0,"jesse",NA,NA,NA
205,"prowl","facet L",2022-05-19,0,0,"jesse",NA,NA,NA
206,"prowl","bison",2022-05-19,0,0,"jesse",NA,NA,NA
207,"prowl","dicamba",2022-05-19,0,0,"jesse",NA,NA,NA
301,"dual","wolverine",2022-05-19,0,0,"jesse",NA,NA,NA
302,"dual","facet L",2022-05-19,0,0,"jesse",NA,NA,NA
303,"dual","bison",2022-05-19,0,0,"jesse",NA,NA,NA
304,"dual","weedy control",2022-05-19,0,0,"jesse",NA,NA,NA
305,"dual","dicamba",2022-05-19,0,0,"jesse",NA,NA,NA
306,"dual","weed-free control",2022-05-19,0,0,"jesse",NA,NA,NA
307,"dual","axial XL",2022-05-19,0,0,"jesse",NA,NA,NA
401,"weedy control","dicamba",2022-05-19,0,0,"jesse",NA,NA,NA
402,"weedy control","weedy control",2022-05-19,0,0,"jesse",NA,NA,NA
403,"weedy control","bison",2022-05-19,0,0,"jesse",NA,NA,NA
404,"weedy control","facet L",2022-05-19,0,0,"jesse",NA,NA,NA
405,"weedy control","axial XL",2022-05-19,0,0,"jesse",NA,NA,NA
406,"weedy control","weed-free control",2022-05-19,0,0,"jesse",NA,NA,NA
407,"weedy control","wolverine",2022-05-19,0,0,"jesse",NA,NA,NA
501,"boundary","bison",2022-05-19,0,0,"jesse",NA,NA,NA
502,"boundary","axial XL",2022-05-19,0,0,"jesse",NA,NA,NA
503,"boundary","weedy control",2022-05-19,0,0,"jesse",NA,NA,NA
504,"boundary","dicamba",2022-05-19,0,0,"jesse",NA,NA,NA
505,"boundary","weed-free control",2022-05-19,0,0,"jesse",NA,NA,NA
