year,date,exp,site,plot_code,trt_code,program,variety,count_0.5m_1,count_0.5m_2,vis_rating,notes,stand_rating
2023,9/20/2023,VAR23,Becker,1101,11,MN,1904,17,11,8,also took visual rating since rows were variable,
2023,9/20/2023,VAR23,Becker,1102,14,MN,2202,2,6,2,,
2023,9/20/2023,VAR23,Becker,1103,5,MN,2206,7,7,6,,
2023,9/20/2023,VAR23,Becker,1104,9,MN,1902,9,4,6,,
2023,9/20/2023,VAR23,Becker,1105,12,MN,1905,12,8,6,,
2023,9/20/2023,VAR23,Becker,1106,1,MN,1504,23,24,7,,
2023,9/20/2023,VAR23,Becker,1107,2,MN,1603,35,22,8,,
2023,9/20/2023,VAR23,Becker,1108,3,MN,1605,4,16,7,,
2023,9/20/2023,VAR23,Becker,1109,18,TLI,801,14,16,9,,
2023,9/20/2023,VAR23,Becker,1110,13,MN,2201,17,11,6,,
2023,9/20/2023,VAR23,Becker,1111,6,MN,1802,19,14,10,,
2023,9/20/2023,VAR23,Becker,1112,8,MN,1901,3,5,4,,
2023,9/20/2023,VAR23,Becker,1113,7,MN,1803,9,8,8,,
2023,9/20/2023,VAR23,Becker,1114,19,TLI,704,16,21,7,,
2023,9/20/2023,VAR23,Becker,1115,15,MN,2203,11,12,3,,
2023,9/20/2023,VAR23,Becker,1116,17,TLI,701,11,10,6,,
2023,9/20/2023,VAR23,Becker,1117,4,MN,2205,3,3,5,,
2023,9/20/2023,VAR23,Becker,1118,16,MN,2204,18,5,6,,
2023,9/20/2023,VAR23,Becker,1119,10,MN,1903,22,23,10,,
2023,9/20/2023,VAR23,Becker,1120,20,TLI,1001,7,8,3,,
2023,9/20/2023,VAR23,Becker,1201,9,MN,1902,15,9,10,,
2023,9/20/2023,VAR23,Becker,1202,4,MN,2205,2,2,1,,
2023,9/20/2023,VAR23,Becker,1203,11,MN,1904,24,16,7,,
2023,9/20/2023,VAR23,Becker,1204,8,MN,1901,9,9,4,,
2023,9/20/2023,VAR23,Becker,1205,10,MN,1903,21,29,7,,
2023,9/20/2023,VAR23,Becker,1206,17,TLI,701,23,10,7,,
2023,9/20/2023,VAR23,Becker,1207,7,MN,1803,26,16,7,,
2023,9/20/2023,VAR23,Becker,1208,2,MN,1603,30,21,7,,
