year,month,day,max,min,avg,precip,norm.avg,norm.precip
2020,1,1,31.168,13.514,22.341,0,11.97,0.02
2020,1,2,32.785,27.892,30.339,0,11.75,0.02
2020,1,3,30.196,12.164,21.18,0,11.59,0.02
2020,1,4,24.692,3.254,13.973,0,11.39,0.02
2020,1,5,35.785,17.222,26.504,0,11.24,0.02
2020,1,6,30.047,12.038,21.043,0,11.07,0.02
2020,1,7,22.878,-4.45,9.214,0,10.91,0.02
2020,1,8,9.14,-14.692,-2.776,0,10.75,0.02
2020,1,9,24.793,8.888,16.841,0,10.61,0.02
2020,1,10,17.006,-8.608,4.199,0,10.5,0.02
2020,1,11,8.906,-15.358,-3.226,0,10.39,0.02
2020,1,12,16.106,7.196,11.651,0,10.29,0.02
2020,1,13,26.573,15.422,20.998,0,10.17,0.02
2020,1,14,27.423,4.1,15.762,0,10.12,0.02
2020,1,15,11.696,-13.414,-0.859,0,10.05,0.02
2020,1,16,-1.822,-23.638,-12.73,0,10,0.02
2020,1,17,20.165,-6.394,6.886,0,9.95,0.02
2020,1,18,21.429,-4.72,8.355,0,9.92,0.02
2020,1,19,1.994,-5.566,-1.786,0,9.9,0.02
2020,1,20,13.748,-8.176,2.786,0,9.89,0.02
2020,1,21,19.301,-10.228,4.537,0,9.91,0.02
2020,1,22,35.247,18.349,26.798,0,9.91,0.02
2020,1,23,32.481,26.083,29.282,0,9.92,0.02
2020,1,24,28.495,22.806,25.651,0,9.98,0.02
2020,1,25,28.364,20.638,24.501,0,10.03,0.02
2020,1,26,25.822,19.058,22.44,0,10.12,0.02
2020,1,27,21.004,12.956,16.98,0,10.18,0.01
2020,1,28,18.732,8.528,13.63,0,10.3,0.02
2020,1,29,17.96,13.874,15.917,0,10.42,0.02
2020,1,30,23.18,14.648,18.914,0,10.53,0.02
2020,1,31,32.49,23.121,27.806,0,10.66,0.02
2020,2,1,36.498,11.588,24.043,0,10.84,0.02
2020,2,2,43.72,28.256,35.988,0,11.01,0.02
2020,2,3,29.237,5.378,17.308,0,11.19,0.02
2020,2,4,18.795,0.374,9.585,0,11.38,0.02
2020,2,5,27.077,4.892,15.985,0,11.59,0.02
2020,2,6,25.714,6.116,15.915,0,11.81,0.02
2020,2,7,23.301,-9.58,6.861,0,12.04,0.02
2020,2,8,16.988,-16.942,0.023,0,12.3,0.02
2020,2,9,23.756,10.4,17.078,0,12.56,0.02
2020,2,10,27.442,6.962,17.202,0,12.83,0.02
2020,2,11,26.515,18.756,22.636,0,13.13,0.02
2020,2,12,27.304,-16.816,5.244,0,13.42,0.02
2020,2,13,-4.342,-21.136,-12.739,0,13.75,0.03
2020,2,14,17.6,-17.284,0.158,0,14.08,0.02
2020,2,15,29.286,10.706,19.996,0,14.41,0.03
2020,2,16,18.086,3.452,10.769,0,14.79,0.02
2020,2,17,26.49,16.16,21.325,0,15.15,0.02
2020,2,18,19.564,-1.93,8.817,0,15.54,0.02
2020,2,19,5.36,-8.662,-1.651,0,15.92,0.03
2020,2,20,15.602,-17.644,-1.021,0,16.31,0.03
2020,2,21,32.212,10.904,21.558,0,16.72,0.03
2020,2,22,41.623,4.892,23.258,0,17.16,0.03
2020,2,23,36.439,18.693,27.566,0,17.56,0.03
2020,2,24,40.933,8.168,24.551,0,18,0.03
2020,2,25,32.88,11.732,22.306,0,18.45,0.03
2020,2,26,21.697,2.894,12.296,0,18.88,0.03
2020,2,27,21.207,2.084,11.646,0,19.36,0.03
2020,2,28,24.363,6.116,15.24,0,19.8,0.03
2020,2,29,36.194,10.742,23.468,0,20.05,0.03
2020,3,1,38.925,20.628,29.777,0,20.28,0.03
2020,3,2,32.86,21.115,26.988,0,20.75,0.03
2020,3,3,36.583,23.241,29.912,0,21.25,0.03
2020,3,4,36.669,13.928,25.299,0,21.75,0.04
2020,3,5,38.307,22.035,30.171,0,22.21,0.04
2020,3,6,32.576,11.876,22.226,0,22.7,0.03
2020,3,7,43.191,29.237,36.214,0,23.21,0.03
2020,3,8,52.358,27.644,40.001,0,23.7,0.04
2020,3,9,29.262,18.774,24.018,0,24.2,0.04
2020,3,10,29.89,13.802,21.846,0,24.7,0.04
2020,3,11,36.608,15.44,26.024,0,25.19,0.04
2020,3,12,39.351,26.452,32.902,0,25.7,0.04
2020,3,13,28.008,19.189,23.599,0,26.22,0.04
2020,3,14,30.151,16.286,23.219,0,26.73,0.04
2020,3,15,36.93,17.636,27.283,0,27.21,0.04
2020,3,16,33.573,27.896,30.735,0,27.69,0.04
2020,3,17,39.457,20.881,30.169,0,28.2,0.05
2020,3,18,39.713,32.722,36.218,0,28.71,0.05
2020,3,19,35.677,18.999,27.338,0,29.22,0.05
2020,3,20,26.53,11.624,19.077,0,29.71,0.05
2020,3,21,31.51,12.668,22.089,0,30.21,0.05
2020,3,22,38.647,28.252,33.45,0,30.7,0.05
2020,3,23,45.97,28.13,37.05,0,31.2,0.05
2020,3,24,43.842,30.207,37.025,0,31.67,0.05
2020,3,25,38.287,29.104,33.696,0,32.16,0.05
2020,3,26,47.048,26.816,36.932,0,32.66,0.05
2020,3,27,48.506,26.938,37.722,0,33.12,0.05
2020,3,28,45.045,34.662,39.854,0,33.6,0.06
2020,3,29,54.554,32.139,43.347,0,34.11,0.06
2020,3,30,58.01,25.479,41.745,0,34.57,0.06
2020,3,31,52.25,29.005,40.628,0,35.04,0.06
2020,4,1,52.484,32.358,42.421,0.1,35.52,0.06
2020,4,2,55.634,22.865,39.25,0.09,36.01,0.07
2020,4,3,24.629,16.286,20.458,0,36.48,0.07
2020,4,4,40.199,13.874,27.037,0.14,36.93,0.07
2020,4,5,53.114,29.835,41.475,0,37.42,0.07
2020,4,6,57.092,41.655,49.374,0.14,37.89,0.07
2020,4,7,64.814,38.161,51.488,0.02,38.34,0.07
2020,4,8,48.704,32.481,40.593,0,38.79,0.07
2020,4,9,35.202,24.629,29.916,0.01,39.26,0.07
