"experiment","collected","site","sampler","sample","wet_bag_seedheads_grams","dry_bag_seedheads_grams","dry_nobag_threshed_grams","spacing","notes","yield_gm2","yield_kgha","yield_lbsA"
"yieldgap","yes","tentis","jesse",1,250.8,177.2,14.5,7.5,"",38.0577427821522,380.577427821522,339.543191853373
"yieldgap","yes","tentis","jesse",2,430.9,295.5,53,7.5,"",139.107611548556,1391.07611548556,1241.08890815371
"yieldgap","yes","tentis","jesse",3,289.1,208.7,35.6,7.5,"",93.4383202099738,934.383202099738,833.637077929661
"yieldgap","yes","tentis","jesse",4,307.1,218.4,32.2,7.5,"",84.5144356955381,845.144356955381,754.020053633008
"yieldgap","yes","tentis","jesse",5,209,168.4,17.4,7.5,"sandy west",45.6692913385827,456.692913385827,407.451830224048
"yieldgap","yes","tentis","jesse",6,323.7,221,31.2,7.5,"",81.8897637795276,818.897637795276,730.603281781051
"yieldgap","yes","tentis","jesse",7,305.9,219.1,28.5,7.5,"",74.8031496062992,748.031496062992,667.377997780768
"yieldgap","yes","tentis","jesse",8,299.3,229.5,35.4,7.5,"",92.9133858267716,929.133858267717,828.95372355927
"yieldgap","yes","tentis","jesse",9,166,133.5,33.8,7.5,"",88.7139107611548,887.139107611549,791.486888596139
"yieldgap","yes","kimber","katherine",1,154.2,127.3,21.1,7.5,"",55.3805774278215,553.805774278215,494.093886076288
"yieldgap","yes","kimber","katherine",2,181.1,140.3,21.3,7.5,"",55.9055118110236,559.055118110236,498.777240446679
"yieldgap","yes","kimber","katherine",3,133.8,109.7,17.3,7.5,"",45.4068241469816,454.068241469816,405.110153038852
"yieldgap","yes","kimber","katherine",4,211.1,156.1,26.3,7.5,"",69.0288713910761,690.288713910761,615.861099706463
"yieldgap","yes","kimber","katherine",5,207.1,158.3,38.8,7.5,"",101.837270341207,1018.37270341207,908.570747855922
"yieldgap","yes","kimber","katherine",6,241.4,182.2,38.1,7.5,"",100,1000,892.179007559553
"yieldgap","yes","kimber","katherine",7,213.1,162.3,31.9,7.5,"",83.7270341207349,837.270341207349,746.995022077421
"yieldgap","yes","kimber","katherine",8,153.8,124.9,25.6,7.5,"",67.1916010498688,671.916010498688,599.469359410093
"yieldgap","yes","kimber","katherine",9,179.9,138.1,21.3,7.5,"",55.9055118110236,559.055118110236,498.777240446679
"yieldgap","yes","jokela","jungers",1,NA,130.9,35.2,7.5,"",92.3884514435696,923.884514435696,824.270369188878
"yieldgap","yes","jokela","jungers",2,NA,145.8,39.8,7.5,"",104.461942257218,1044.61942257218,931.987519707879
"yieldgap","yes","jokela","jungers",3,NA,107.1,15.6,7.5,"",40.9448818897638,409.448818897638,365.301640890526
"yieldgap","yes","jokela","jungers",4,NA,133.7,18.8,7.5,"",49.3438320209974,493.438320209974,440.235310816787
"yieldgap","yes","jokela","jungers",5,NA,141.4,34.3,7.5,"",90.0262467191601,900.262467191601,803.195274522117
"yieldgap","yes","jokela","jungers",6,NA,141.4,30,7.5,"",78.740157480315,787.40157480315,702.503155558703
"yieldgap","yes","jokela","jungers",7,NA,108.3,22.4,7.5,"",58.7926509186352,587.926509186352,524.535689483832
"yieldgap","yes","jokela","jungers",8,NA,109.2,22.8,7.5,"",59.8425196850394,598.425196850394,533.902398224614
"yieldgap","yes","jokela","jungers",9,NA,136.8,26,7.5,"",68.241469816273,682.41469816273,608.836068150876
"yieldgap","yes","stan","jesse",1,NA,141.1,30.5,7,"",85.7705286839145,857.705286839145,765.22665159073
"yieldgap","yes","stan","jesse",2,NA,138.4,27.4,7,"",77.0528683914511,770.528683914511,687.449516511017
"yieldgap","yes","stan","jesse",3,NA,151.7,29.5,7,"",82.9583802024747,829.583802024747,740.137253177919
"yieldgap","yes","stan","jesse",4,NA,179.8,31.2,7,"",87.7390326209224,877.390326209224,782.789230479698
"yieldgap","yes","stan","jesse",5,NA,108.1,21.4,7,"",60.1799775028122,601.799775028122,536.913126034152
"yieldgap","yes","stan","jesse",6,NA,158,33.6,7,"",94.488188976378,944.88188976378,843.003786670444
"yieldgap","yes","stan","jesse",7,NA,172.6,31.7,7,"",89.1451068616423,891.451068616423,795.333929686103
"yieldgap","yes","stan","jesse",8,NA,171.4,31.4,7,"",88.3014623172104,883.014623172103,787.80711016226
"yieldgap","yes","stan","jesse",9,NA,110,18.9,7,"",53.1496062992126,531.496062992126,474.189630002125
"yieldgap","yes","wendy","leavitt",1,NA,102.7,13.5,7.5,"grazed 54-64",35.4330708661417,354.330708661417,316.126420001416
"yieldgap","yes","wendy","leavitt",2,NA,114.9,11.5,7.5,"",30.1837270341207,301.837270341207,269.292876297503
"yieldgap","yes","wendy","leavitt",3,NA,150.6,26.9,7.5,"",70.6036745406824,706.036745406824,629.911162817637
"yieldgap","yes","wendy","leavitt",4,NA,159.4,26,7.5,"",68.241469816273,682.41469816273,608.836068150876
"yieldgap","yes","wendy","leavitt",5,NA,137.6,14.8,7.5,"",38.8451443569554,388.451443569554,346.56822340896
"yieldgap","yes","wendy","leavitt",6,NA,137.7,20.6,7.5,"",54.0682414698163,540.682414698163,482.385500150309
